Date,Date,Open,y_label,OperatingCashFlow,"	CashFlowFromContinuingOperatingActivities","		NetIncomeFromContinuingOperations","		OperatingGainsLosses","			GainLossOnSaleOfBusiness","			GainLossOnSaleOfPPE","			GainLossOnInvestmentSecurities","		DepreciationAmortizationDepletion","			DepreciationAndAmortization","		DeferredTax","			DeferredIncomeTax","		UnrealizedGainLossOnInvestmentSecurities","		StockBasedCompensation","		ExcessTaxBenefitFromStockBasedCompensation","		OtherNonCashItems","		ChangeInWorkingCapital","			ChangeInReceivables","				ChangesInAccountReceivables","			ChangeInInventory","			ChangeInPrepaidAssets","			ChangeInPayablesAndAccruedExpense","				ChangeInPayable","					ChangeInTaxPayable","						ChangeInIncomeTaxPayable","					ChangeInAccountPayable","				ChangeInAccruedExpense","			ChangeInOtherCurrentAssets","			ChangeInOtherCurrentLiabilities","			ChangeInOtherWorkingCapital",InvestingCashFlow,"	CashFlowFromContinuingInvestingActivities","		NetPPEPurchaseAndSale","			PurchaseOfPPE","			SaleOfPPE","		NetIntangiblesPurchaseAndSale","			PurchaseOfIntangibles","		NetBusinessPurchaseAndSale","			PurchaseOfBusiness","			SaleOfBusiness","		NetInvestmentPurchaseAndSale","			PurchaseOfInvestment","			SaleOfInvestment","		NetOtherInvestingChanges",FinancingCashFlow,"	CashFlowFromContinuingFinancingActivities","		NetIssuancePaymentsOfDebt","			NetLongTermDebtIssuance","				LongTermDebtIssuance","				LongTermDebtPayments","			NetShortTermDebtIssuance","				ShortTermDebtIssuance","				ShortTermDebtPayments","		NetCommonStockIssuance","			CommonStockIssuance","			CommonStockPayments","		CashDividendsPaid","			CommonStockDividendPaid","		ProceedsFromStockOptionExercised","		NetOtherFinancingCharges",EndCashPosition,"	ChangesInCash","	BeginningCashPosition","	OtherCashAdjustmentOutsideChangeinCash",IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow,Date,TotalRevenue,"	OperatingRevenue",CostOfRevenue,GrossProfit,OperatingExpense,"	SellingGeneralAndAdministration","	ResearchAndDevelopment","	DepreciationAmortizationDepletionIncomeStatement","		DepreciationAndAmortizationInIncomeStatement","	OtherOperatingExpenses",OperatingIncome,NetNonOperatingInterestIncomeExpense,"	InterestIncomeNonOperating","	InterestExpenseNonOperating","	TotalOtherFinanceCost",OtherIncomeExpense,"	GainOnSaleOfSecurity","	SpecialIncomeCharges","		RestructuringAndMergernAcquisition","		OtherSpecialCharges","	OtherNonOperatingIncomeExpenses",PretaxIncome,TaxProvision,NetIncomeCommonStockholders,"	NetIncome","		NetIncomeIncludingNoncontrollingInterests","			NetIncomeContinuousOperations","			NetIncomeExtraordinary","			NetIncomeFromTaxLossCarryforward",DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,Date,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,Date,TotalAssets,"	CurrentAssets","		CashCashEquivalentsAndShortTermInvestments","			CashAndCashEquivalents","				CashFinancial","				CashEquivalents","			OtherShortTermInvestments","		Receivables","			AccountsReceivable","				GrossAccountsReceivable","				AllowanceForDoubtfulAccountsReceivable","			OtherReceivables","			ReceivablesAdjustmentsAllowances","		Inventory","			RawMaterials","			WorkInProcess","			FinishedGoods","			OtherInventories","		PrepaidAssets","		CurrentDeferredAssets","			CurrentDeferredTaxesAssets","		OtherCurrentAssets","	TotalNonCurrentAssets","		NetPPE","			GrossPPE","				Properties","				LandAndImprovements","				BuildingsAndImprovements","				MachineryFurnitureEquipment","				OtherProperties","				Leases","			AccumulatedDepreciation","		GoodwillAndOtherIntangibleAssets","			Goodwill","			OtherIntangibleAssets","		InvestmentsAndAdvances","			InvestmentinFinancialAssets","				AvailableForSaleSecurities","			OtherInvestments","		NonCurrentDeferredAssets","			NonCurrentDeferredTaxesAssets","		NonCurrentPrepaidAssets","		OtherNonCurrentAssets",TotalLiabilitiesNetMinorityInterest,"	CurrentLiabilities","		PayablesAndAccruedExpenses","			Payables","				AccountsPayable","				TotalTaxPayable","					IncomeTaxPayable","				OtherPayable","			CurrentAccruedExpenses","		PensionandOtherPostRetirementBenefitPlansCurrent","		CurrentDebtAndCapitalLeaseObligation","			CurrentDebt","				CurrentNotesPayable","				CommercialPaper","				OtherCurrentBorrowings","		CurrentDeferredLiabilities","			CurrentDeferredTaxesLiabilities","			CurrentDeferredRevenue","		OtherCurrentLiabilities","	TotalNonCurrentLiabilitiesNetMinorityInterest","		LongTermDebtAndCapitalLeaseObligation","			LongTermDebt","		NonCurrentDeferredLiabilities","			NonCurrentDeferredTaxesLiabilities","			NonCurrentDeferredRevenue","		TradeandOtherPayablesNonCurrent","		OtherNonCurrentLiabilities",TotalEquityGrossMinorityInterest,"	StockholdersEquity","		CapitalStock","			PreferredStock","			CommonStock","		AdditionalPaidInCapital","		RetainedEarnings","		GainsLossesNotAffectingRetainedEarnings","			ForeignCurrencyTranslationAdjustments","			OtherEquityAdjustments","		OtherEquityInterest",TotalCapitalization,PreferredStockEquity,CommonStockEquity,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,NetDebt,ShareIssued,OrdinarySharesNumber,TreasurySharesNumber
12/31/2023,12/01/23,190.330002,0,"39,89,50,00,000","39,89,50,00,000","33,91,60,00,000",,,,,"2,84,80,00,000","2,84,80,00,000",,,,"2,99,70,00,000",,"-98,90,00,000","1,12,30,00,000","11,12,40,00,000","6,55,50,00,000","-13,70,00,000",,"-4,54,20,00,000","-4,54,20,00,000",,,"-4,54,20,00,000",,"-1,45,70,00,000","-3,86,50,00,000",,"1,92,70,00,000","1,92,70,00,000","-2,39,20,00,000","-2,39,20,00,000",,,,,,,"4,60,30,00,000","-9,78,00,00,000","14,38,30,00,000","-28,40,00,000","-30,58,50,00,000","-30,58,50,00,000","-3,98,40,00,000",0,,0,"-3,98,40,00,000",,"-3,98,40,00,000","-20,13,90,00,000",,"-20,13,90,00,000","-3,82,50,00,000","-3,82,50,00,000",,"-2,63,70,00,000","41,97,40,00,000","11,23,70,00,000","30,73,70,00,000",,"7,25,50,00,000",,"-2,39,20,00,000",,,"-3,98,40,00,000","-20,13,90,00,000","37,50,30,00,000",12/31/2023,"1,19,57,50,00,000","1,19,57,50,00,000","64,72,00,00,000","54,85,50,00,000","14,48,20,00,000","6,78,60,00,000","7,69,60,00,000",,,,"40,37,30,00,000",,,,,"-5,00,00,000",,,,,"-5,00,00,000","40,32,30,00,000","6,40,70,00,000","33,91,60,00,000","33,91,60,00,000","33,91,60,00,000","33,91,60,00,000",,,"33,91,60,00,000",2.19,2.18,"15,50,97,63,000","15,57,66,41,000","40,37,30,00,000","79,20,20,00,000","33,91,60,00,000","33,91,60,00,000",,,,"40,37,30,00,000","43,22,10,00,000","64,72,00,00,000","2,84,80,00,000","33,91,60,00,000",,,"43,22,10,00,000",0.159,0,12/31/2023,"29,94,37,13,42,560","30,43,90,43,42,560",31.408,29.155,2.307,7.943,47.896,25.456,70.427,12/31/2023,"3,53,51,40,00,000","1,43,69,20,00,000","73,10,00,00,000","40,76,00,00,000","29,54,20,00,000","11,21,80,00,000","32,34,00,00,000","50,10,20,00,000","23,19,40,00,000",,,"26,90,80,00,000",,"6,51,10,00,000",,,,,,,,"13,97,90,00,000","2,09,82,20,00,000","43,66,60,00,000","1,16,17,60,00,000",,,,,,,"-72,51,00,00,000",,,,"99,47,50,00,000","99,47,50,00,000","99,47,50,00,000",,,,,"66,68,10,00,000","2,79,41,40,00,000","1,33,97,30,00,000","58,14,60,00,000","58,14,60,00,000","58,14,60,00,000",,,,,,"12,95,20,00,000","12,95,20,00,000",,"1,99,80,00,000","10,95,40,00,000","8,26,40,00,000",,"8,26,40,00,000","54,61,10,00,000","1,45,44,10,00,000","95,08,80,00,000","95,08,80,00,000",,,,,"50,35,30,00,000","74,10,00,00,000","74,10,00,00,000","75,23,60,00,000",,"75,23,60,00,000",,"8,24,20,00,000","-9,37,80,00,000",,"-9,37,80,00,000",,"1,69,18,80,00,000",,"74,10,00,00,000","74,10,00,00,000","9,71,90,00,000","1,82,14,00,00,000","74,10,00,00,000","1,08,04,00,00,000","67,28,00,00,000","15,46,02,23,000","15,46,02,23,000",0
9/30/2023,09/01/23,189.490005,0,"21,59,80,00,000","21,59,80,00,000","22,95,60,00,000",,,,,"2,65,30,00,000","2,65,30,00,000",,,,"2,62,50,00,000",,"-57,60,00,000","-6,06,00,00,000","-21,13,70,00,000","-9,29,70,00,000","95,20,00,000",,"14,90,10,00,000","14,90,10,00,000",,,"14,90,10,00,000",,"-82,10,00,000","4,50,00,000",,"2,39,40,00,000","2,39,40,00,000","-2,16,30,00,000","-2,16,30,00,000",,,,,,,"5,14,10,00,000","-8,55,70,00,000","13,69,80,00,000","-58,40,00,000","-23,15,30,00,000","-23,15,30,00,000","1,99,30,00,000",0,0,0,"1,99,30,00,000",,,"-21,00,30,00,000",,"-21,00,30,00,000","-3,75,80,00,000","-3,75,80,00,000",,"-38,50,00,000","30,73,70,00,000","83,90,00,000","29,89,80,00,000",,"11,65,90,00,000","1,21,30,00,000","-2,16,30,00,000",,0,0,"-21,00,30,00,000","19,43,50,00,000",9/30/2023,"89,49,80,00,000","89,49,80,00,000","49,07,10,00,000","40,42,70,00,000","13,45,80,00,000","6,15,10,00,000","7,30,70,00,000",,,,"26,96,90,00,000","-1,80,00,000","98,40,00,000","1,00,20,00,000",,"4,70,00,000",,,,,"4,70,00,000","26,99,80,00,000","4,04,20,00,000","22,95,60,00,000","22,95,60,00,000","22,95,60,00,000","22,95,60,00,000",,,"22,95,60,00,000",1.47,1.46,"15,59,94,34,000","15,67,24,00,000","26,96,90,00,000","62,52,90,00,000","22,95,60,00,000","22,95,60,00,000","98,40,00,000","1,00,20,00,000","-1,80,00,000","28,00,00,00,000","30,65,30,00,000","49,07,10,00,000","2,65,30,00,000","22,95,60,00,000",,,"30,65,30,00,000",0.15,0,9/30/2023,"26,76,73,68,60,720","27,23,53,48,60,720",28.727,25.773,2.18,7.101,44.17,30.431,88.851,9/30/2023,"3,52,58,30,00,000","1,43,56,60,00,000","61,55,50,00,000","29,96,50,00,000","28,35,90,00,000","1,60,60,00,000","31,59,00,00,000","60,98,50,00,000","29,50,80,00,000",,,"31,47,70,00,000",,"6,33,10,00,000",,,,,,,,"14,69,50,00,000","2,09,01,70,00,000","43,71,50,00,000","1,14,59,90,00,000",0,"23,44,60,00,000",,"78,31,40,00,000",,"12,83,90,00,000","-70,88,40,00,000",,,,"1,00,54,40,00,000","1,00,54,40,00,000","1,00,54,40,00,000",,"17,85,20,00,000","17,85,20,00,000",,"46,90,60,00,000","2,90,43,70,00,000","1,45,30,80,00,000","62,61,10,00,000","62,61,10,00,000","62,61,10,00,000",,,,,,"15,80,70,00,000","15,80,70,00,000",,"5,98,50,00,000","9,82,20,00,000","8,06,10,00,000",,"8,06,10,00,000","58,82,90,00,000","1,45,12,90,00,000","95,28,10,00,000","95,28,10,00,000",,,,"15,45,70,00,000","34,39,10,00,000","62,14,60,00,000","62,14,60,00,000","73,81,20,00,000",,"73,81,20,00,000",,"-21,40,00,000","-11,45,20,00,000",,"-11,45,20,00,000",,"1,57,42,70,00,000",,"62,14,60,00,000","62,14,60,00,000","-1,74,20,00,000","1,73,23,40,00,000","62,14,60,00,000","1,11,08,80,00,000","81,12,30,00,000","15,55,00,61,000","15,55,00,61,000",0
6/30/2023,06/01/23,177.699997,0,"26,38,00,00,000","26,38,00,00,000","19,88,10,00,000",,,,,"3,05,20,00,000","3,05,20,00,000",,,,"2,61,70,00,000",,"8,10,00,000","74,90,00,000","-3,66,10,00,000","-1,98,70,00,000","-2,20,00,000",,"3,97,40,00,000","3,97,40,00,000",,,"3,97,40,00,000",,"-77,10,00,000","1,22,90,00,000",,"43,70,00,000","43,70,00,000","-2,09,30,00,000","-2,09,30,00,000",,,,,,,"3,03,60,00,000","-9,75,90,00,000","12,79,50,00,000","-50,60,00,000","-24,04,80,00,000","-24,04,80,00,000","-28,30,00,000","-2,27,20,00,000",,"-7,50,00,00,000","1,98,90,00,000",,,"-17,47,80,00,000",,"-17,47,80,00,000","-3,84,90,00,000","-3,84,90,00,000",,"-2,43,80,00,000","29,89,80,00,000","2,76,90,00,000","27,12,90,00,000",,"2,12,60,00,000","71,70,00,000","-2,09,30,00,000",,,"-7,50,00,00,000","-17,47,80,00,000","24,28,70,00,000",6/30/2023,"81,79,70,00,000","81,79,70,00,000","45,38,40,00,000","36,41,30,00,000","13,41,50,00,000","5,97,30,00,000","7,44,20,00,000",,,,"22,99,80,00,000","-1,80,00,000","98,00,00,000","99,80,00,000",,"-24,70,00,000",,,,,"-24,70,00,000","22,73,30,00,000","2,85,20,00,000","19,88,10,00,000","19,88,10,00,000","19,88,10,00,000","19,88,10,00,000",,,"19,88,10,00,000",1.27,1.26,"15,69,76,14,000","15,77,50,21,000","22,99,80,00,000","58,79,90,00,000","19,88,10,00,000","19,88,10,00,000","98,00,00,000","99,80,00,000","-1,80,00,000","23,73,10,00,000","26,78,30,00,000","45,38,40,00,000","3,05,20,00,000","19,88,10,00,000",,,"26,78,30,00,000",0.125,0,6/30/2023,"30,50,89,63,26,940","31,04,63,93,26,940",32.876,29.412,2.663,8.082,49.083,37.955,115.918,6/30/2023,"3,35,03,80,00,000","1,22,65,90,00,000","62,48,20,00,000","28,40,80,00,000","25,33,70,00,000","3,07,10,00,000","34,07,40,00,000","39,18,60,00,000","19,54,90,00,000",,,"19,63,70,00,000",,"7,35,10,00,000","3,78,80,00,000",,"3,56,30,00,000",,,,,"13,64,00,00,000","2,12,37,90,00,000","43,55,00,00,000","1,14,33,70,00,000",,,,,,,"-70,78,70,00,000",,,,"1,04,06,10,00,000","1,04,06,10,00,000","1,04,06,10,00,000",,,,,"64,76,80,00,000","2,74,76,40,00,000","1,24,96,30,00,000","46,69,90,00,000","46,69,90,00,000","46,69,90,00,000",,,,,,"11,20,90,00,000","11,20,90,00,000",,"3,99,30,00,000","7,21,60,00,000","8,15,80,00,000",,"8,15,80,00,000","58,89,70,00,000","1,49,80,10,00,000","98,07,10,00,000","98,07,10,00,000",,,,,"51,73,00,00,000","60,27,40,00,000","60,27,40,00,000","70,66,70,00,000",,"70,66,70,00,000",,"1,40,80,00,000","-11,80,10,00,000",,"-11,80,10,00,000",,"1,58,34,50,00,000",,"60,27,40,00,000","60,27,40,00,000","-2,30,40,00,000","1,69,55,40,00,000","60,27,40,00,000","1,09,28,00,00,000","80,87,20,00,000","15,64,78,68,000","15,64,78,68,000",
3/31/2023,03/01/23,146.830002,0,"28,56,00,00,000","28,56,00,00,000","24,16,00,00,000",,,,,"2,89,80,00,000","2,89,80,00,000",,,,"2,68,60,00,000",,"-1,41,50,00,000","23,10,00,000","17,78,60,00,000","5,32,10,00,000","-74,10,00,000",,"-14,68,90,00,000","-14,68,90,00,000",,,"-14,68,90,00,000",,"70,00,000","-2,13,20,00,000",,"2,31,90,00,000","2,31,90,00,000","-2,91,60,00,000","-2,91,60,00,000",,,,,,,"5,34,10,00,000","-6,04,40,00,000","11,38,50,00,000","-10,60,00,000","-25,72,40,00,000","-25,72,40,00,000","-1,99,60,00,000","-2,25,00,00,000",,"-2,25,00,00,000","25,40,00,000",,,"-19,59,40,00,000",,"-19,59,40,00,000","-3,65,00,00,000","-3,65,00,00,000",,"-48,40,00,000","27,12,90,00,000","5,15,50,00,000","21,97,40,00,000",,"4,06,60,00,000","1,17,00,00,000","-2,91,60,00,000",,,"5,96,40,00,000","-19,59,40,00,000","25,64,40,00,000",3/31/2023,"94,83,60,00,000","94,83,60,00,000","52,86,00,00,000","41,97,60,00,000","13,65,80,00,000","6,20,10,00,000","7,45,70,00,000",,,,"28,31,80,00,000","-1,20,00,000","91,80,00,000","93,00,00,000",,"7,60,00,000",,,,,"7,60,00,000","28,38,20,00,000","4,22,20,00,000","24,16,00,00,000","24,16,00,00,000","24,16,00,00,000","24,16,00,00,000",,,"24,16,00,00,000",1.53,1.52,"15,78,71,54,000","15,84,70,50,000","28,31,80,00,000","66,51,80,00,000","24,16,00,00,000","24,16,00,00,000","91,80,00,000","93,00,00,000","-1,20,00,000","29,31,20,00,000","32,21,00,00,000","52,86,00,00,000","2,89,80,00,000","24,16,00,00,000",,,"32,21,00,00,000",0.149,0,3/31/2023,"26,09,03,88,95,400","26,68,79,38,95,400",27.997,27.855,2.788,6.887,45.993,28.141,82.856,3/31/2023,"3,32,16,00,00,000","1,12,91,30,00,000","55,87,20,00,000","24,68,70,00,000","20,05,00,00,000","4,63,70,00,000","31,18,50,00,000","35,89,90,00,000","17,93,60,00,000",,,"17,96,30,00,000",,"7,48,20,00,000","3,37,90,00,000",,"4,10,30,00,000",,,,,"13,66,00,00,000","2,19,24,70,00,000","43,39,80,00,000","1,13,06,60,00,000",,,,,,,"-69,66,80,00,000",,,,"1,10,46,10,00,000","1,10,46,10,00,000","1,10,46,10,00,000",,,,,"65,38,80,00,000","2,70,00,20,00,000","1,20,07,50,00,000","42,94,50,00,000","42,94,50,00,000","42,94,50,00,000",,,,,,"12,57,40,00,000","12,57,40,00,000",,"1,99,60,00,000","10,57,80,00,000","8,13,10,00,000",,"8,13,10,00,000","56,42,50,00,000","1,49,92,70,00,000","97,04,10,00,000","97,04,10,00,000",,,,,"52,88,60,00,000","62,15,80,00,000","62,15,80,00,000","69,56,80,00,000",,"69,56,80,00,000",,"4,33,60,00,000","-11,74,60,00,000",,"-11,74,60,00,000",,"1,59,19,90,00,000",,"62,15,80,00,000","62,15,80,00,000","-7,16,20,00,000","1,71,77,30,00,000","62,15,80,00,000","1,09,61,50,00,000","84,92,80,00,000","15,72,34,06,000","15,72,34,06,000",
12/31/2022,12/01/22,148.210007,0,"34,00,50,00,000","34,00,50,00,000","29,99,80,00,000",,,,,"2,91,60,00,000","2,91,60,00,000",,,,"2,90,50,00,000",,"-31,70,00,000","-1,49,70,00,000","6,59,50,00,000","4,27,50,00,000","-1,80,70,00,000",,"-6,07,50,00,000","-6,07,50,00,000",,,"-6,07,50,00,000",,"-4,09,90,00,000","3,88,90,00,000","13,10,00,000","-1,44,50,00,000","-1,44,50,00,000","-3,78,70,00,000","-3,78,70,00,000",,,,,,,"2,48,30,00,000","-5,15,30,00,000","7,63,60,00,000","-14,10,00,000","-35,56,30,00,000","-35,56,30,00,000","-9,61,50,00,000","-1,40,10,00,000",,"-1,40,10,00,000","-8,21,40,00,000",,"-8,21,40,00,000","-19,47,50,00,000",,"-19,47,50,00,000","-3,76,80,00,000","-3,76,80,00,000",,"-2,70,50,00,000","21,97,40,00,000","-3,00,30,00,000","24,97,70,00,000",,"82,80,00,000","70,30,00,000","-3,78,70,00,000",,,"-9,61,50,00,000","-19,47,50,00,000","30,21,80,00,000",12/31/2022,"1,17,15,40,00,000","1,17,15,40,00,000","66,82,20,00,000","50,33,20,00,000","14,31,60,00,000","6,60,70,00,000","7,70,90,00,000",,,,"36,01,60,00,000","-13,50,00,000","86,80,00,000","1,00,30,00,000",,"-39,30,00,000",,,,,"-39,30,00,000","35,62,30,00,000","5,62,50,00,000","29,99,80,00,000","29,99,80,00,000","29,99,80,00,000","29,99,80,00,000",,,"29,99,80,00,000",1.89,1.88,"15,89,27,23,000","15,95,57,18,000","36,01,60,00,000","81,13,80,00,000","29,99,80,00,000","29,99,80,00,000","86,80,00,000","1,00,30,00,000","-13,50,00,000","36,01,60,00,000","38,93,20,00,000","66,82,20,00,000","2,91,60,00,000","29,99,80,00,000",,,"38,93,20,00,000",0.158,0,12/31/2022,"20,66,94,17,71,740","21,38,70,67,71,740",21.265,21.277,2.533,5.379,40.622,18.256,54.934,12/31/2022,"3,46,74,70,00,000","1,28,77,70,00,000","51,35,50,00,000","20,53,50,00,000","17,90,80,00,000","2,62,70,00,000","30,82,00,00,000","54,18,00,00,000","23,75,20,00,000",,,"30,42,80,00,000",,"6,82,00,00,000","2,51,30,00,000",,"4,30,70,00,000",,,,,"16,42,20,00,000","2,17,97,00,00,000","42,95,10,00,000","1,10,99,50,00,000",,,,,,,"-68,04,40,00,000",,,,"1,14,09,50,00,000",,,"1,14,09,50,00,000",,,,"60,92,40,00,000","2,90,02,00,00,000","1,37,28,60,00,000","57,91,80,00,000","57,91,80,00,000","57,91,80,00,000",,,,,,"11,48,30,00,000","11,48,30,00,000",,"1,74,30,00,000","9,74,00,00,000","7,99,20,00,000",,"7,99,20,00,000","59,89,30,00,000","1,52,73,40,00,000","99,62,70,00,000","99,62,70,00,000",,,,,"53,10,70,00,000","56,72,70,00,000","56,72,70,00,000","66,39,90,00,000",,"66,39,90,00,000",,"3,24,00,00,000","-12,91,20,00,000",,"-12,91,20,00,000",,"1,56,35,40,00,000",,"56,72,70,00,000","56,72,70,00,000","-8,50,90,00,000","1,67,83,70,00,000","56,72,70,00,000","1,11,11,00,00,000","90,57,50,00,000","15,84,24,07,000","15,84,24,07,000",
9/30/2022,09/01/22,156.639999,0,"24,12,70,00,000","24,12,70,00,000","20,72,10,00,000",,,,,"2,86,50,00,000","2,86,50,00,000","-1,86,10,00,000","-1,86,10,00,000",,"2,27,80,00,000",,"17,20,00,000","-4,80,00,000","-18,69,30,00,000","-6,38,40,00,000","43,50,00,000",,"15,55,60,00,000","15,55,60,00,000",,,"15,55,60,00,000",,"-3,21,00,00,000","5,64,60,00,000","21,80,00,000","-1,21,70,00,000","-1,21,70,00,000","-3,28,90,00,000","-3,28,90,00,000",,,,"-13,70,00,000","-13,70,00,000",,"2,80,60,00,000","-6,74,50,00,000","9,55,10,00,000","-59,70,00,000","-26,79,40,00,000","-26,79,40,00,000","1,65,70,00,000","2,67,20,00,000","5,46,50,00,000","-2,79,30,00,000","-1,01,50,00,000",,,"-24,42,80,00,000",,"-24,42,80,00,000","-3,70,30,00,000",,,"-32,00,00,000","24,97,70,00,000","-3,88,40,00,000","28,86,10,00,000",,"7,32,20,00,000","95,50,00,000","-3,28,90,00,000",,"49,50,00,000","-2,79,30,00,000","-24,42,80,00,000","20,83,80,00,000",9/30/2022,"90,14,60,00,000","90,14,60,00,000","52,05,10,00,000","38,09,50,00,000","13,20,10,00,000","6,44,00,00,000","6,76,10,00,000",,,,"24,89,40,00,000","-7,40,00,000","75,30,00,000","82,70,00,000",,"-16,30,00,000",,,,,"-16,30,00,000","24,65,70,00,000","3,93,60,00,000","20,72,10,00,000","20,72,10,00,000","20,72,10,00,000","20,72,10,00,000",,,"20,72,10,00,000",1.29,1.29,"16,03,03,82,000","16,11,84,65,000","24,89,40,00,000","65,25,20,00,000","20,72,10,00,000","20,72,10,00,000","75,30,00,000","82,70,00,000","-7,40,00,000","25,48,40,00,000","28,34,90,00,000","52,05,10,00,000","2,86,50,00,000","20,72,10,00,000",,,"28,34,90,00,000",0.16,0,9/30/2022,"22,03,38,13,35,000","22,74,84,13,35,000",22.843,21.834,2.473,5.868,37.919,25.235,80.244,9/30/2022,"3,52,75,50,00,000","1,35,40,50,00,000","48,30,40,00,000","23,64,60,00,000","18,54,60,00,000","5,10,00,00,000","24,65,80,00,000","60,93,20,00,000","28,18,40,00,000",,,"32,74,80,00,000",,"4,94,60,00,000",,,,,,,,"21,22,30,00,000","2,17,35,00,00,000","42,11,70,00,000","1,14,45,70,00,000",0,"22,12,60,00,000",,"81,06,00,00,000",,"11,27,10,00,000","-72,34,00,00,000",,,,"1,20,80,50,00,000","1,20,80,50,00,000","1,20,80,50,00,000","1,20,80,50,00,000","15,37,50,00,000","15,37,50,00,000",,"39,05,30,00,000","3,02,08,30,00,000","1,53,98,20,00,000","64,11,50,00,000","64,11,50,00,000","64,11,50,00,000",,,,,,"21,11,00,00,000","21,11,00,00,000",,"9,98,20,00,000","11,12,80,00,000","7,91,20,00,000",,"7,91,20,00,000","60,84,50,00,000","1,48,10,10,00,000","98,95,90,00,000","98,95,90,00,000",,,,"16,65,70,00,000","32,48,50,00,000","50,67,20,00,000","50,67,20,00,000","64,84,90,00,000",,"64,84,90,00,000",,"-3,06,80,00,000","-11,10,90,00,000",,"-11,10,90,00,000",,"1,49,63,10,00,000",,"50,67,20,00,000","50,67,20,00,000","-18,57,70,00,000","1,70,74,10,00,000","50,67,20,00,000","1,20,06,90,00,000","96,42,30,00,000","15,94,34,25,000","15,94,34,25,000",
