name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
				ChangeInAccruedExpense,"5,352,000,000","-350,000,000","78,000,000","5,290,000,000","334,000,000","1,268,000,000","999,000,000","1,180,000,000","763,000,000","2,462,000,000","1,095,000,000","1,481,000,000","-1,681,000,000","2,219,000,000","-257,000,000","-3,996,000,000","980,000,000","861,000,000","457,000,000","2,828,000,000","3,154,000,000","373,000,000","354,000,000","-17,000,000","707,000,000","214,000,000","-62,000,000","96,000,000","61,000,000","373,000,000","228,000,000","432,000,000","-18,000,000","222,000,000","50,000,000","107,000,000","134,000,000","130,000,000","123,000,000","102,000,000","-27,000,000","67,000,000","-114,000,000","42,000,000","-33,000,000","-2,000,000","-31,000,000","184,000,000","2,000,000","47,000,000","12,000,000","-27,000,000","6,000,000"
			ChangeInOtherCurrentAssets,"-80,000,000","-111,000,000","-36,000,000","37,000,000","30,000,000","54,000,000","-28,000,000","-24,000,000","-108,000,000","-165,000,000","11,000,000","-185,000,000","-10,000,000","-26,000,000","7,000,000","1,000,000","-16,000,000","-25,000,000","1,000,000","24,000,000","41,000,000","-60,000,000","-40,000,000","-81,000,000","22,000,000","24,000,000","48,000,000","51,000,000","31,000,000","-32,000,000","42,000,000","-11,000,000","15,000,000","-7,000,000","29,000,000","7,000,000","-32,000,000","-58,000,000","-176,000,000","2,000,000","16,000,000","-107,000,000","9,000,000","-8,000,000","-36,000,000",,"9,000,000","-3,000,000","-6,000,000",,,,
			ChangeInOtherCurrentLiabilities,"624,000,000","663,000,000","-72,000,000","-151,000,000","184,000,000","440,000,000","533,000,000","-65,000,000","-57,000,000","414,000,000","343,000,000","-26,000,000","210,000,000","-89,000,000","116,000,000","-486,000,000","-68,000,000","-3,652,000,000","417,000,000","1,507,000,000","77,000,000","-736,000,000","226,000,000","19,000,000","-143,000,000","2,533,000,000","177,000,000","151,000,000","222,000,000","1,365,000,000","31,000,000","295,000,000","351,000,000","451,000,000","564,000,000","201,000,000","149,000,000","119,000,000","178,000,000","23,000,000","26,000,000","488,000,000","148,000,000","113,000,000","84,000,000",,"20,000,000","-4,000,000","11,000,000",,,,
			ChangeInOtherWorkingCapital,,,,,,,"-7,000,000","24,000,000","-52,000,000","100,000,000","78,000,000","3,000,000","6,000,000","-3,000,000","112,000,000","15,000,000","-16,000,000","2,931,000,000","31,000,000","55,000,000","-4,000,000","33,000,000","24,000,000","1,000,000","-5,000,000","-8,000,000","16,000,000","6,000,000","-10,000,000","14,000,000","-2,000,000","25,000,000","-2,000,000","9,000,000","-1,000,000","-7,000,000","-10,000,000","7,000,000","-12,000,000","40,000,000","42,000,000","2,000,000","4,000,000","107,000,000","48,000,000","-82,000,000","0","-8,000,000","3,000,000","0","23,000,000","22,000,000","25,000,000"
InvestingCashFlow,"-24,495,000,000","-6,472,000,000","-6,077,000,000","-5,203,000,000","-6,743,000,000","-7,531,000,000","-9,701,000,000","-6,959,000,000","-4,779,000,000","5,829,000,000","-330,000,000","-8,195,000,000","-4,874,000,000","-5,173,000,000","-16,599,000,000","-4,178,000,000","-4,109,000,000","-4,036,000,000","-5,050,000,000","-4,010,000,000","-6,768,000,000","-3,685,000,000","-4,247,000,000","-2,384,000,000","-1,287,000,000","-4,993,000,000","-3,729,000,000","-5,466,000,000","-5,920,000,000","-1,975,000,000","-3,117,000,000","-4,971,000,000","-1,676,000,000","-2,726,000,000","-3,300,000,000","-564,000,000","-2,844,000,000","-6,616,000,000","2,997,000,000","-422,000,000","-1,872,000,000","-2,534,000,000","734,000,000","-498,000,000","-326,000,000","535,000,000","-389,000,000","-6,450,000,000","-720,000,000","-43,000,000","-795,000,000","-2,032,000,000","-153,000,000"
	CashFlowFromContinuingInvestingActivities,"-24,495,000,000","-6,472,000,000","-6,077,000,000","-5,203,000,000","-6,743,000,000","-7,531,000,000","-9,701,000,000","-6,959,000,000","-4,779,000,000","5,829,000,000","-330,000,000","-8,195,000,000","-4,874,000,000","-5,173,000,000","-16,599,000,000","-4,178,000,000","-4,109,000,000","-4,036,000,000","-5,050,000,000","-4,010,000,000","-6,768,000,000","-3,685,000,000","-4,247,000,000","-2,384,000,000","-1,287,000,000","-4,993,000,000","-3,729,000,000","-5,466,000,000","-5,920,000,000","-1,975,000,000","-3,117,000,000","-4,971,000,000","-1,676,000,000","-2,726,000,000","-3,300,000,000","-564,000,000","-2,844,000,000","-6,616,000,000","2,997,000,000","-422,000,000","-1,872,000,000","-2,534,000,000","734,000,000","-498,000,000","-326,000,000","535,000,000","-389,000,000","-6,450,000,000","-720,000,000","-43,000,000","-795,000,000","-2,032,000,000","-153,000,000"
		NetPPEPurchaseAndSale,"-27,045,000,000","-7,592,000,000","-6,496,000,000","-6,134,000,000","-6,823,000,000","-8,988,000,000","-9,355,000,000","-7,528,000,000","-5,315,000,000","-5,369,000,000","-4,314,000,000","-4,612,000,000","-4,272,000,000","-4,613,000,000","-3,689,000,000","-3,255,000,000","-3,558,000,000","-4,100,000,000","-3,532,000,000","-3,633,000,000","-3,837,000,000","-4,301,000,000","-3,342,000,000","-3,460,000,000","-2,812,000,000","-2,263,000,000","-1,755,000,000","-1,444,000,000","-1,271,000,000","-1,269,000,000","-1,095,000,000","-995,000,000","-1,132,000,000","-692,000,000","-780,000,000","-549,000,000","-502,000,000","-517,000,000","-482,000,000","-469,000,000","-363,000,000","-483,000,000","-284,000,000","-268,000,000","-327,000,000","-198,000,000","-171,000,000","-413,000,000","-453,000,000","-185,000,000","-136,000,000","-132,000,000","-153,000,000"
			PurchaseOfPPE,"-27,266,000,000","-7,665,000,000","-6,543,000,000","-6,216,000,000","-6,842,000,000","-9,043,000,000","-9,375,000,000","-7,572,000,000","-5,441,000,000","-5,369,000,000","-4,346,000,000","-4,641,000,000","-4,303,000,000","-4,613,000,000","-3,689,000,000","-3,255,000,000","-3,558,000,000","-4,100,000,000","-3,532,000,000","-3,633,000,000","-3,837,000,000","-4,301,000,000","-3,342,000,000","-3,460,000,000","-2,812,000,000","-2,263,000,000","-1,755,000,000","-1,444,000,000","-1,271,000,000","-1,269,000,000","-1,095,000,000","-995,000,000","-1,132,000,000","-692,000,000","-780,000,000","-549,000,000","-502,000,000","-517,000,000","-482,000,000","-469,000,000","-363,000,000","-483,000,000","-284,000,000","-268,000,000","-327,000,000","-198,000,000","-171,000,000","-413,000,000","-453,000,000","-185,000,000","-136,000,000","-132,000,000","-153,000,000"
			SaleOfPPE,"221,000,000","73,000,000","47,000,000","82,000,000","19,000,000","55,000,000","20,000,000","44,000,000","126,000,000",,"32,000,000","29,000,000","31,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-629,000,000","-64,000,000","-38,000,000","-83,000,000","-444,000,000","-62,000,000","-34,000,000","-363,000,000","-853,000,000","-522,000,000","-71,000,000","-259,000,000","0","-63,000,000","-6,314,000,000","-339,000,000","-33,000,000",,"-71,000,000","-3,000,000","-50,000,000","0","-72,000,000","-16,000,000","-49,000,000","-16,000,000","-98,000,000","-8,000,000","0","-42,000,000","-61,000,000","-19,000,000","-1,000,000","-4,000,000","-27,000,000","-25,000,000","-257,000,000","-4,221,000,000","-735,000,000","-19,000,000","0","-131,000,000","-16,000,000","-122,000,000","-99,000,000","0","-336,000,000","-550,000,000","-25,000,000","-19,000,000","-1,000,000","-3,000,000","-1,000,000"
