Date,Date,Open,y_label,OperatingCashFlow,"	CashFlowFromContinuingOperatingActivities","		NetIncomeFromContinuingOperations","		OperatingGainsLosses","			NetForeignCurrencyExchangeGainLoss","			GainLossOnInvestmentSecurities","			EarningsLossesFromEquityInvestments","		DepreciationAmortizationDepletion","			DepreciationAndAmortization","				Depreciation","				AmortizationCashFlow","					AmortizationOfIntangibles","		DeferredTax","			DeferredIncomeTax","		AssetImpairmentCharge","		StockBasedCompensation","		ExcessTaxBenefitFromStockBasedCompensation","		OtherNonCashItems","		ChangeInWorkingCapital","			ChangeInReceivables","				ChangesInAccountReceivables","			ChangeInInventory","			ChangeInPrepaidAssets","			ChangeInPayablesAndAccruedExpense","				ChangeInPayable","					ChangeInAccountPayable","				ChangeInAccruedExpense","					ChangeInInterestPayable","			ChangeInOtherCurrentAssets","			ChangeInOtherCurrentLiabilities","			ChangeInOtherWorkingCapital",InvestingCashFlow,"	CashFlowFromContinuingInvestingActivities","		NetPPEPurchaseAndSale","			PurchaseOfPPE","			SaleOfPPE","		NetBusinessPurchaseAndSale","			PurchaseOfBusiness","			SaleOfBusiness","		NetInvestmentPurchaseAndSale","			PurchaseOfInvestment","			SaleOfInvestment","		NetOtherInvestingChanges",FinancingCashFlow,"	CashFlowFromContinuingFinancingActivities","		NetIssuancePaymentsOfDebt","			NetLongTermDebtIssuance","				LongTermDebtIssuance","				LongTermDebtPayments","			NetShortTermDebtIssuance","				ShortTermDebtIssuance","				ShortTermDebtPayments","		NetCommonStockIssuance","			CommonStockIssuance","			CommonStockPayments","		CashDividendsPaid","		ProceedsFromStockOptionExercised","		InterestPaidCFF","		NetOtherFinancingCharges",EndCashPosition,"	ChangesInCash","	EffectOfExchangeRateChanges","	BeginningCashPosition","	OtherCashAdjustmentOutsideChangeinCash",IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow,Date,TotalRevenue,"	OperatingRevenue",CostOfRevenue,GrossProfit,OperatingExpense,"	SellingGeneralAndAdministration","		GeneralAndAdministrativeExpense","			SalariesAndWages","			OtherGandA","		SellingAndMarketingExpense","	ResearchAndDevelopment","	DepreciationAmortizationDepletionIncomeStatement","		DepreciationAndAmortizationInIncomeStatement","			DepreciationIncomeStatement","			Amortization","				AmortizationOfIntangiblesIncomeStatement","	OtherOperatingExpenses",OperatingIncome,NetNonOperatingInterestIncomeExpense,"	InterestIncomeNonOperating","	InterestExpenseNonOperating",OtherIncomeExpense,"	GainOnSaleOfSecurity","	EarningsFromEquityInterest","	SpecialIncomeCharges","		RestructuringAndMergernAcquisition","		ImpairmentOfCapitalAssets","		WriteOff","		OtherSpecialCharges","		GainOnSaleOfPPE","	OtherNonOperatingIncomeExpenses",PretaxIncome,TaxProvision,EarningsFromEquityInterestNetOfTax,NetIncomeCommonStockholders,"	NetIncome","		NetIncomeIncludingNoncontrollingInterests","			NetIncomeContinuousOperations","			NetIncomeExtraordinary","	OtherunderPreferredStockDividend",DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,Date,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,Date,TotalAssets,"	CurrentAssets","		CashCashEquivalentsAndShortTermInvestments","			CashAndCashEquivalents","				CashFinancial","				CashEquivalents","			OtherShortTermInvestments","		Receivables","			AccountsReceivable","				GrossAccountsReceivable","				AllowanceForDoubtfulAccountsReceivable","			OtherReceivables","		Inventory","			FinishedGoods","		PrepaidAssets","		CurrentDeferredAssets","			CurrentDeferredTaxesAssets","		OtherCurrentAssets","	TotalNonCurrentAssets","		NetPPE","			GrossPPE","				Properties","				LandAndImprovements","				BuildingsAndImprovements","				MachineryFurnitureEquipment","				OtherProperties","				ConstructionInProgress","				Leases","			AccumulatedDepreciation","		GoodwillAndOtherIntangibleAssets","			Goodwill","			OtherIntangibleAssets","		InvestmentsAndAdvances","			LongTermEquityInvestment","			OtherInvestments","		NonCurrentDeferredAssets","			NonCurrentDeferredTaxesAssets","		NonCurrentPrepaidAssets","		OtherNonCurrentAssets",TotalLiabilitiesNetMinorityInterest,"	CurrentLiabilities","		PayablesAndAccruedExpenses","			Payables","				AccountsPayable","			CurrentAccruedExpenses","				InterestPayable","		CurrentDebtAndCapitalLeaseObligation","			CurrentDebt","				OtherCurrentBorrowings","			CurrentCapitalLeaseObligation","		CurrentDeferredLiabilities","			CurrentDeferredRevenue","		OtherCurrentLiabilities","	TotalNonCurrentLiabilitiesNetMinorityInterest","		LongTermDebtAndCapitalLeaseObligation","			LongTermDebt","			LongTermCapitalLeaseObligation","		NonCurrentDeferredLiabilities","			NonCurrentDeferredTaxesLiabilities","		TradeandOtherPayablesNonCurrent","		OtherNonCurrentLiabilities",TotalEquityGrossMinorityInterest,"	StockholdersEquity","		CapitalStock","			PreferredStock","			CommonStock","		AdditionalPaidInCapital","		RetainedEarnings","		TreasuryStock","		GainsLossesNotAffectingRetainedEarnings","			OtherEquityAdjustments","		OtherEquityInterest",TotalCapitalization,CommonStockEquity,CapitalLeaseObligations,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,NetDebt,ShareIssued,OrdinarySharesNumber,TreasurySharesNumber,Check
12/31/2023,12/01/23,146,0,"42,46,50,00,000","42,46,50,00,000","10,62,40,00,000",,,,,"13,82,00,00,000","13,82,00,00,000",,,,"-1,46,40,00,000","-1,46,40,00,000",,"6,31,90,00,000",,"-33,90,00,000","13,50,50,00,000","2,01,60,00,000","2,01,60,00,000","2,64,30,00,000",,"17,48,20,00,000","10,88,80,00,000","10,88,80,00,000","6,59,40,00,000",,,,"3,62,90,00,000","-12,60,10,00,000","-12,60,10,00,000","-13,35,30,00,000","-14,58,80,00,000","1,23,50,00,000","-38,10,00,000","-38,10,00,000",,"1,13,30,00,000","-43,50,00,000","1,56,80,00,000",,"-6,74,60,00,000","-6,74,60,00,000","-6,67,30,00,000","-1,06,90,00,000",0,"-1,06,90,00,000","-5,60,40,00,000","73,40,00,000","-6,33,80,00,000",0,,0,,,,"-7,30,00,000","73,89,00,00,000","23,11,80,00,000","69,10,00,000","50,08,10,00,000",,"4,19,70,00,000","90,70,00,000","-14,58,80,00,000",,"73,40,00,000","-7,40,70,00,000",0,"27,87,70,00,000",12/31/2023,"1,69,96,10,00,000","1,69,96,10,00,000","1,40,68,60,00,000","29,27,50,00,000","16,06,60,00,000","15,91,20,00,000","3,01,00,00,000",,"3,01,00,00,000","12,90,20,00,000",,,,,,,"15,40,00,000","13,20,90,00,000","18,80,00,000","90,10,00,000","71,30,00,000","28,90,00,000","27,00,00,000",,,,,,,,"1,90,00,000","13,68,60,00,000","3,06,20,00,000",0,"10,62,40,00,000","10,62,40,00,000","10,62,40,00,000","10,62,40,00,000",,,"10,62,40,00,000",1.03,1,"10,35,60,00,000","10,61,00,00,000","13,20,90,00,000","1,56,75,20,00,000","10,62,40,00,000","10,41,44,07,715.91","90,10,00,000","71,30,00,000","18,80,00,000","14,39,90,00,000","28,21,90,00,000","1,40,68,60,00,000","13,82,00,00,000","10,62,40,00,000","27,00,00,000","27,00,00,000","27,94,90,00,000",0.224,"6,04,07,715.91",12/31/2023,"15,70,15,26,07,236","16,42,97,26,07,236",79.55,39.526,2.467,2.851,8.622,9.667,58.222,12/31/2023,"5,27,85,40,00,000","1,72,35,10,00,000","86,78,00,00,000","73,38,70,00,000",,,"13,39,30,00,000","52,25,30,00,000","52,25,30,00,000","53,95,30,00,000","-1,70,00,00,000",,"33,31,80,00,000",,,,,,"3,55,50,30,00,000","2,76,69,00,00,000","3,96,80,10,00,000","1,05,29,30,00,000","1,05,29,30,00,000",,,"2,62,66,80,00,000","28,84,00,00,000",,"-1,20,11,10,00,000","30,47,60,00,000","22,78,90,00,000","7,68,70,00,000",,,,,,,"48,33,70,00,000","3,25,97,90,00,000","1,64,91,70,00,000","1,49,69,00,00,000","84,98,10,00,000","84,98,10,00,000","64,70,90,00,000",,,,,,"15,22,70,00,000","15,22,70,00,000",,"1,61,06,20,00,000","1,35,61,10,00,000","58,31,40,00,000","77,29,70,00,000",,,,"25,45,10,00,000","2,01,87,50,00,000","2,01,87,50,00,000","10,90,00,000",0,"10,90,00,000","99,02,50,00,000","1,13,61,80,00,000","7,83,70,00,000","-3,04,00,00,000","-3,04,00,00,000",,"2,60,18,90,00,000","2,01,87,50,00,000","77,29,70,00,000","1,71,39,90,00,000","7,43,40,00,000","2,60,18,90,00,000","1,71,39,90,00,000","1,35,61,10,00,000",,"10,89,80,00,000","10,38,30,00,000","51,50,00,000",TRUE
9/30/2023,09/01/23,139.460007,0,"21,21,70,00,000","21,21,70,00,000","9,87,90,00,000",,,,,"12,13,10,00,000","12,13,10,00,000",,,,"-1,19,60,00,000","-1,19,60,00,000",,"5,82,90,00,000",,"-99,00,00,000","-4,43,60,00,000","-6,71,80,00,000","-6,71,80,00,000","80,80,00,000",,"1,49,90,00,000","2,82,00,00,000","2,82,00,00,000","-1,32,10,00,000",,,,"-2,50,00,000","-11,75,30,00,000","-11,75,30,00,000","-11,29,80,00,000","-12,47,90,00,000","1,18,10,00,000","-1,62,90,00,000","-1,62,90,00,000",,"1,17,40,00,000","-21,90,00,000","1,39,30,00,000",,"-8,94,80,00,000","-8,94,80,00,000","-8,88,40,00,000","-1,00,50,00,000",0,"-1,00,50,00,000","-7,87,90,00,000","21,60,00,000","-8,09,50,00,000",0,,0,,,,"-6,40,00,000","50,08,10,00,000","51,60,00,000","-50,20,00,000","50,06,70,00,000",,"2,62,80,00,000","59,10,00,000","-12,47,90,00,000",,"21,60,00,000","-9,10,00,00,000",0,"8,73,80,00,000",9/30/2023,"1,43,08,30,00,000","1,43,08,30,00,000","1,18,53,90,00,000","24,54,40,00,000","13,35,60,00,000","13,11,20,00,000","2,56,10,00,000",,"2,56,10,00,000","10,55,10,00,000",,,,,,,"24,40,00,000","11,18,80,00,000","-3,00,00,000","77,60,00,000","80,60,00,000","1,03,10,00,000","1,08,20,00,000",,,,,,,,"-5,10,00,000","12,18,90,00,000","2,30,60,00,000","-40,00,000","9,87,90,00,000","9,87,90,00,000","9,87,90,00,000","9,87,90,00,000",,,"9,87,90,00,000",0.96,0.94,"10,32,20,00,000","10,55,80,00,000","11,18,80,00,000","1,31,89,50,00,000","9,87,90,00,000","9,00,17,00,303.55","77,60,00,000","80,60,00,000","-3,00,00,000","12,99,50,00,000","25,12,60,00,000","1,18,53,90,00,000","12,13,10,00,000","9,87,90,00,000","1,08,20,00,000","1,08,20,00,000","24,04,40,00,000",0.189,"20,47,00,303.55",9/30/2023,"13,11,59,24,81,187","13,86,53,64,81,187",100.889,40.486,2.53,2.434,7.788,9.69,55.183,9/30/2023,"4,86,88,30,00,000","1,42,99,50,00,000","64,16,90,00,000","49,60,50,00,000",,,"14,56,40,00,000","38,10,00,00,000","35,60,00,00,000",,,"2,50,00,00,000","35,40,60,00,000","35,40,60,00,000",,,,"5,32,00,00,000","3,43,88,80,00,000","2,67,22,60,00,000","2,67,22,60,00,000",,,,,"2,67,22,60,00,000",,,,"22,74,90,00,000","22,74,90,00,000",,,,,,,,"53,91,30,00,000","3,03,91,00,00,000","1,45,21,40,00,000","1,30,81,60,00,000","72,00,40,00,000","72,00,40,00,000","58,81,20,00,000",,,,,,"14,39,80,00,000","14,39,80,00,000",,"1,58,69,60,00,000","1,36,98,90,00,000","61,09,80,00,000","75,89,10,00,000",,,,"21,70,70,00,000","1,82,97,30,00,000","1,82,97,30,00,000","10,80,00,000",0,"10,80,00,000","92,71,10,00,000","1,02,99,40,00,000","7,83,70,00,000","-5,00,30,00,000","-5,00,30,00,000",,"2,44,07,10,00,000","1,82,97,30,00,000","75,89,10,00,000","1,60,22,40,00,000","-2,21,90,00,000","2,44,07,10,00,000","1,60,22,40,00,000","1,36,98,90,00,000","11,49,30,00,000","10,84,50,00,000","10,33,00,00,000","51,50,00,000",TRUE
6/30/2023,06/01/23,120.690002,0,"16,47,60,00,000","16,47,60,00,000","6,75,00,00,000",,,,,"11,58,90,00,000","11,58,90,00,000",,,,"-2,74,40,00,000","-2,74,40,00,000",,"7,12,70,00,000",,"4,70,00,000","-6,29,30,00,000","-5,16,70,00,000","-5,16,70,00,000","-2,37,30,00,000",,"1,09,10,00,000","3,02,90,00,000","3,02,90,00,000","-1,93,80,00,000",,,,"15,60,00,000","-9,67,30,00,000","-9,67,30,00,000","-10,41,20,00,000","-11,45,50,00,000","1,04,30,00,000","-31,60,00,000","-31,60,00,000",,"1,05,50,00,000","-49,60,00,000","1,55,10,00,000",,"-6,53,90,00,000","-6,53,90,00,000","-6,46,20,00,000","-3,22,00,00,000",0,"-3,22,00,00,000","-3,24,20,00,000","4,39,90,00,000","-7,64,10,00,000",0,,0,,,,"-7,70,00,000","50,06,70,00,000","26,40,00,000","6,90,00,000","49,73,40,00,000",,"3,73,50,00,000","1,07,20,00,000","-11,45,50,00,000",,"4,39,90,00,000","-10,86,10,00,000",0,"5,02,10,00,000",6/30/2023,"1,34,38,30,00,000","1,34,38,30,00,000","1,12,60,90,00,000","21,77,40,00,000","14,09,30,00,000","13,94,70,00,000","3,20,20,00,000",,"3,20,20,00,000","10,74,50,00,000",,,,,,,"14,60,00,000","7,68,10,00,000","-17,90,00,000","66,10,00,000","84,00,00,000","6,10,00,000","9,80,00,000",,,,,,,,"-3,70,00,000","7,56,30,00,000","80,40,00,000","-90,00,000","6,75,00,00,000","6,75,00,00,000","6,75,00,00,000","6,75,00,00,000",,,"6,75,00,00,000",0.66,0.65,"10,28,50,00,000","10,44,90,00,000","7,68,10,00,000","1,26,70,20,00,000","6,75,00,00,000","6,66,24,18,088.06","66,10,00,000","84,00,00,000","-17,90,00,000","8,40,30,00,000","19,99,20,00,000","1,12,60,90,00,000","11,58,90,00,000","6,75,00,00,000","9,80,00,000","9,80,00,000","19,89,40,00,000",0.106,"1,04,18,088.06",6/30/2023,"13,44,40,26,80,000","14,21,34,86,80,000",310.381,82.645,5.157,2.541,8.7,10.577,71.096,6/30/2023,"4,77,60,70,00,000","1,40,48,20,00,000","63,97,00,00,000","49,52,90,00,000",,,"14,44,10,00,000","39,92,50,00,000","39,92,50,00,000","41,42,50,00,000","-1,50,00,00,000",,"36,58,70,00,000","36,58,70,00,000",,,,,"3,37,12,50,00,000","2,64,11,60,00,000","2,64,11,60,00,000",,,,,"2,64,11,60,00,000",,,,"22,78,50,00,000","22,78,50,00,000",,,,,,,,"50,22,40,00,000","3,09,00,50,00,000","1,48,23,80,00,000","1,33,71,60,00,000","69,48,10,00,000","69,48,10,00,000","64,23,50,00,000",,,,,,"14,52,20,00,000","14,52,20,00,000",,"1,60,76,70,00,000","1,38,91,40,00,000","63,09,20,00,000","75,82,20,00,000",,,,"21,85,30,00,000","1,68,60,20,00,000","1,68,60,20,00,000","10,80,00,000",0,"10,80,00,000","86,89,60,00,000","93,11,50,00,000","7,83,70,00,000","-3,68,00,00,000","-3,68,00,00,000",,"2,31,69,40,00,000","1,68,60,20,00,000","75,82,20,00,000","1,45,81,70,00,000","-7,75,60,00,000","2,31,69,40,00,000","1,45,81,70,00,000","1,38,91,40,00,000","13,56,30,00,000","10,82,80,00,000","10,31,30,00,000","51,50,00,000",TRUE
3/31/2023,03/01/23,93.870003,0,"4,78,80,00,000","4,78,80,00,000","3,17,20,00,000",,,,,"11,12,30,00,000","11,12,30,00,000",,,,"-47,20,00,000","-47,20,00,000",,"4,74,80,00,000",,"53,40,00,000","-14,31,70,00,000","1,52,10,00,000","1,52,10,00,000","37,10,00,000",,"-17,02,70,00,000","-11,26,40,00,000","-11,26,40,00,000","-5,76,30,00,000",,,,"81,80,00,000","-15,80,60,00,000","-15,80,60,00,000","-13,07,00,00,000","-14,20,70,00,000","1,13,70,00,000","-3,51,30,00,000","-3,51,30,00,000",,"77,70,00,000","-33,80,00,000","1,11,50,00,000",,"6,35,40,00,000","6,35,40,00,000","6,41,10,00,000","-2,76,60,00,000",0,"-2,76,60,00,000","9,17,70,00,000","12,78,00,00,000","-3,60,30,00,000",0,,0,,,,"-5,70,00,000","49,73,40,00,000","-4,66,40,00,000","14,50,00,000","54,25,30,00,000",,"61,90,00,000","54,20,00,000","-14,20,70,00,000",,"12,78,00,00,000","-6,36,90,00,000",0,"-9,41,90,00,000",3/31/2023,"1,27,35,80,00,000","1,27,35,80,00,000","1,09,14,60,00,000","18,21,20,00,000","13,43,80,00,000","13,21,50,00,000","3,04,30,00,000",,"3,04,30,00,000","10,17,20,00,000",,,,,,,"22,30,00,000","4,77,40,00,000","-21,20,00,000","61,10,00,000","82,30,00,000","-44,30,00,000","-33,50,00,000",,,,,,,,"-10,80,00,000","4,11,90,00,000","94,80,00,000","10,00,000","3,17,20,00,000","3,17,20,00,000","3,17,20,00,000","3,17,20,00,000",,,"3,17,20,00,000",0.31,0.31,"10,25,00,00,000","10,34,70,00,000","4,77,40,00,000","1,22,58,40,00,000","3,17,20,00,000","3,42,98,98,761.84","61,10,00,000","82,30,00,000","-21,20,00,000","4,94,20,00,000","16,06,50,00,000","1,09,14,60,00,000","11,12,30,00,000","3,17,20,00,000","-33,50,00,000","-33,50,00,000","16,40,00,00,000",0.23,"-7,71,01,238.17",3/31/2023,"10,59,54,88,20,000","11,29,64,08,20,000",,62.112,3.877,2.048,7.255,8.87,70.317,3/31/2023,"4,64,37,80,00,000","1,36,22,10,00,000","64,40,50,00,000","49,34,30,00,000",,,"15,06,20,00,000","37,64,60,00,000","37,64,60,00,000","39,04,60,00,000","-1,40,00,00,000",,"34,17,00,00,000","34,17,00,00,000",,,,,"3,28,15,70,00,000","2,59,01,60,00,000","2,59,01,60,00,000",,,,,"2,59,01,60,00,000",,,,"22,74,90,00,000","22,74,90,00,000",,,,,,,,"46,39,20,00,000","3,09,85,20,00,000","1,47,57,00,00,000","1,33,28,90,00,000","66,90,70,00,000","66,90,70,00,000","66,38,20,00,000",,,,,,"14,28,10,00,000","14,28,10,00,000",,"1,62,28,20,00,000","1,41,35,10,00,000","67,08,40,00,000","74,26,70,00,000",,,,"20,93,10,00,000","1,54,52,60,00,000","1,54,52,60,00,000","10,80,00,000",0,"10,80,00,000","79,86,30,00,000","86,36,50,00,000","7,83,70,00,000","-3,97,30,00,000","-3,97,30,00,000",,"2,21,61,00,00,000","1,54,52,60,00,000","74,26,70,00,000","1,31,77,70,00,000","-11,34,90,00,000","2,21,61,00,00,000","1,31,77,70,00,000","1,41,35,10,00,000","17,74,10,00,000","10,77,30,00,000","10,25,80,00,000","51,50,00,000",TRUE
12/31/2022,12/01/22,96.989998,0,"29,17,30,00,000","29,17,30,00,000","27,80,00,000",,,,,"13,14,50,00,000","13,14,50,00,000",,,,"-3,36,70,00,000","-3,36,70,00,000",,"5,60,60,00,000",,"2,98,50,00,000","10,52,60,00,000","-8,78,80,00,000","-8,78,80,00,000","3,18,00,00,000",,"15,62,90,00,000","9,85,20,00,000","9,85,20,00,000","5,77,70,00,000",,,,"50,50,00,000","-10,82,10,00,000","-10,82,10,00,000","-15,44,00,00,000","-16,59,20,00,000","1,15,20,00,000","-83,10,00,000","-83,10,00,000",,"5,45,00,00,000","-23,30,00,000","5,68,30,00,000",,"8,60,00,000","8,60,00,000","-10,00,00,000","5,09,00,00,000","8,23,50,00,000","-3,14,50,00,000","-5,19,00,00,000","10,60,70,00,000","-15,79,70,00,000",0,,0,,,,,"54,25,30,00,000","18,43,80,00,000","63,70,00,000","35,17,80,00,000",,,,"-16,59,20,00,000",,"18,84,20,00,000","-18,94,20,00,000",0,"12,58,10,00,000",12/31/2022,"1,49,20,40,00,000","1,49,20,40,00,000","1,29,55,70,00,000","19,64,70,00,000","16,91,00,00,000","16,15,10,00,000","3,33,30,00,000",,"3,33,30,00,000","12,81,80,00,000",,,,,,,"75,90,00,000","2,73,70,00,000","-24,90,00,000","44,50,00,000","69,40,00,000","-3,45,00,00,000","-3,00,20,00,000",,,,,,,,"-44,80,00,000","-96,20,00,000","-1,22,70,00,000","1,30,00,000","27,80,00,000","27,80,00,000","27,80,00,000","27,80,00,000",,,"27,80,00,000",0.03,0.03,"10,22,00,00,000","10,30,80,00,000","2,73,70,00,000","1,46,46,70,00,000","27,80,00,000","2,64,95,80,000","44,50,00,000","69,40,00,000","-24,90,00,000","-26,80,00,000","12,87,70,00,000","1,29,55,70,00,000","13,14,50,00,000","27,80,00,000","-3,00,20,00,000","-3,00,20,00,000","15,87,90,00,000",0.21,"-63,04,20,000",12/31/2022,"8,56,93,89,50,784","9,26,52,79,50,784",76.329,41.322,4.67,1.709,6.257,6.21,74.618,12/31/2022,"4,62,67,50,00,000","1,46,79,10,00,000","70,02,60,00,000","53,88,80,00,000",,,"16,13,80,00,000","42,36,00,00,000","42,36,00,00,000","43,76,00,00,000","-1,40,00,00,000",,"34,40,50,00,000",,,,,,"3,15,88,40,00,000","2,52,83,80,00,000","3,49,85,30,00,000","91,65,00,00,000","91,65,00,00,000",,,"2,28,18,30,00,000","30,02,00,00,000",,"-97,01,50,00,000","26,38,50,00,000","20,28,80,00,000","6,09,70,00,000",,,,,,,"36,66,10,00,000","3,16,63,20,00,000","1,55,39,30,00,000","1,42,16,60,00,000","79,60,00,00,000","79,60,00,00,000","62,56,60,00,000",,,,,,"13,22,70,00,000","13,22,70,00,000",,"1,61,23,90,00,000","1,40,11,80,00,000","67,15,00,00,000","72,96,80,00,000",,,,"21,12,10,00,000","1,46,04,30,00,000","1,46,04,30,00,000","10,80,00,000",0,"10,80,00,000","75,06,60,00,000","83,19,30,00,000","7,83,70,00,000","-4,48,70,00,000","-4,48,70,00,000",,"2,13,19,30,00,000","1,46,04,30,00,000","72,96,80,00,000","1,19,65,80,00,000","-8,60,20,00,000","2,13,19,30,00,000","1,19,65,80,00,000","1,40,11,80,00,000","13,26,20,00,000","10,75,70,00,000","10,24,20,00,000","51,50,00,000",TRUE
9/30/2022,09/01/22,126,1,"11,40,40,00,000","11,40,40,00,000","2,87,20,00,000",,,,,"10,32,70,00,000","10,32,70,00,000",,,,"-82,50,00,000","-82,50,00,000",,"5,55,60,00,000",,"-1,27,20,00,000","-5,25,40,00,000","-4,79,40,00,000","-4,79,40,00,000","73,20,00,000",,"-1,24,60,00,000","-1,22,60,00,000","-1,22,60,00,000","-2,00,00,000",,,,"5,40,00,000","-15,60,80,00,000","-15,60,80,00,000","-15,04,10,00,000","-16,37,80,00,000","1,33,70,00,000","-88,50,00,000","-88,50,00,000",,"31,80,00,000","-23,90,00,000","55,70,00,000",,"3,01,60,00,000","3,01,60,00,000","3,06,40,00,000","-1,35,80,00,000","10,70,00,000","-1,46,50,00,000","4,42,20,00,000","12,33,80,00,000","-7,91,60,00,000",0,,0,,,,"-4,80,00,000","35,17,80,00,000","-1,18,80,00,000","-1,33,40,00,000","37,70,00,00,000",,"74,20,00,000","43,10,00,000","-16,37,80,00,000",,"12,44,50,00,000","-9,38,10,00,000",0,"-4,97,40,00,000",9/30/2022,"1,27,10,10,00,000","1,27,10,10,00,000","1,10,33,60,00,000","16,76,50,00,000","14,24,00,00,000","14,07,50,00,000","3,06,10,00,000",,"3,06,10,00,000","11,01,40,00,000",,,,,,,"16,50,00,000","2,52,50,00,000","-34,00,00,000","27,70,00,000","61,70,00,000","75,90,00,000","77,70,00,000",,,,,,,,"-1,80,00,000","2,94,40,00,000","6,90,00,000","-30,00,000","2,87,20,00,000","2,87,20,00,000","2,87,20,00,000","2,87,20,00,000",,,"2,87,20,00,000",0.28,0.28,"10,19,10,00,000","10,33,10,00,000","2,52,50,00,000","1,24,57,60,00,000","2,87,20,00,000","2,11,32,10,937.50","27,70,00,000","61,70,00,000","-34,00,00,000","3,56,10,00,000","13,88,80,00,000","1,10,33,60,00,000","10,32,70,00,000","2,87,20,00,000","77,70,00,000","77,70,00,000","13,11,10,00,000",0.023,"1,82,10,937.50",9/30/2022,"11,52,37,40,00,000","12,16,24,10,00,000",101.756,46.948,4.5,2.383,8.77,9.569,87.575,9/30/2022,"4,28,36,20,00,000","1,31,46,30,00,000","58,66,20,00,000","34,94,70,00,000",,,"23,71,50,00,000","36,15,40,00,000","36,15,40,00,000",,,,"36,64,70,00,000",,,,,,"2,96,89,90,00,000","2,39,22,80,00,000","2,39,22,80,00,000",,,,,"2,39,22,80,00,000",,,,"20,16,80,00,000","20,16,80,00,000",,,,,,,,"37,50,30,00,000","2,90,87,30,00,000","1,40,36,30,00,000","1,27,73,40,00,000","67,76,00,00,000","67,76,00,00,000","59,97,40,00,000",,,,,,"12,62,90,00,000","12,62,90,00,000",,"1,50,51,00,00,000","1,28,25,10,00,000","58,91,90,00,000","69,33,20,00,000",,,,"22,25,90,00,000","1,37,48,90,00,000","1,37,48,90,00,000","10,70,00,000",0,"10,70,00,000","69,41,90,00,000","82,91,50,00,000","7,83,70,00,000","-7,11,50,00,000","-7,11,50,00,000",,"1,96,40,80,00,000","1,37,48,90,00,000","69,33,20,00,000","1,17,32,10,00,000","-8,90,00,00,000","1,96,40,80,00,000","1,17,32,10,00,000","1,28,25,10,00,000","23,97,20,00,000","10,71,40,00,000","10,19,80,00,000","51,60,00,000",TRUE
