name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141,000","786,000","913,000","912,000","913,000","1,212,000","1,374,000","1,979,000","37,537,000","41,835,000","50,830,000","50,831,000","79,210,000","79,194,000","80,413,000","82,955,000",,,,,,,"5,413,000",,,,,,,,,
	OtherOperatingExpenses,"767,000,000","154,000,000","244,000,000","146,000,000","223,000,000","759,000,000","165,000,000","90,000,000","249,000,000","24,000,000","-11,000,000","11,000,000","38,000,000","-496,000,000","62,000,000","290,000,000","70,000,000","65,000,000","55,000,000","86,000,000","-5,000,000","85,000,000","68,000,000","80,000,000","63,000,000","59,000,000","45,000,000","66,000,000","44,000,000","34,000,000","32,000,000","55,000,000","45,000,000","35,000,000","43,000,000","48,000,000","44,000,000","39,000,000","31,000,000","28,000,000","35,000,000","40,000,000","11,000,000","32,000,000","31,000,000","38,000,000","43,000,000","32,000,000","46,000,000","42,000,000","37,000,000","41,000,000","33,000,000","29,000,000","26,000,000","25,000,000","26,000,000","22,000,000","9,000,000","60,000,000","11,000,000","8,000,000","7,000,000","-45,000,000","6,000,000","3,000,000","3,000,000","3,000,000",,"1,000,000","2,000,000","3,000,000","3,000,000","4,000,000","40,000,000","2,000,000","1,000,000","-4,777,000","5,000,000","-7,000,000","-542,000",,"786,000","913,000","912,000",,,,,,,,"114,260,000",,,,,,,,,,,,,,,,,,,,
OperatingIncome,"36,852,000,000","13,209,000,000","11,188,000,000","7,681,000,000","4,774,000,000","2,737,000,000","2,525,000,000","3,317,000,000","3,669,000,000","3,460,000,000","4,852,000,000","7,702,000,000","8,865,000,000","6,873,000,000","6,194,000,000","5,843,000,000","3,989,000,000","3,879,000,000","3,157,000,000","3,084,000,000","4,420,000,000","3,786,000,000","3,724,000,000","2,983,000,000","1,927,000,000","2,127,000,000","347,000,000","628,000,000","1,005,000,000","1,255,000,000","575,000,000","1,285,000,000","1,071,000,000","1,109,000,000","406,000,000","464,000,000","255,000,000","590,000,000","-544,000,000","-15,000,000","146,000,000","510,000,000","-25,000,000","79,000,000","181,000,000","405,000,000","-28,000,000","107,000,000","192,000,000","260,000,000","79,000,000","201,000,000","322,000,000","474,000,000","268,000,000","270,000,000","394,000,000","476,000,000","251,000,000","159,000,000","244,000,000","273,000,000","154,000,000","217,000,000","198,000,000","271,000,000","123,000,000","116,000,000","145,000,000","197,000,000","40,000,000","47,000,000","106,000,000","165,000,000","55,000,000","104,000,000","108,000,000","162,442,000","81,000,000","86,000,000","110,000,000","140,508,000","51,931,000","41,823,000","39,225,000","66,278,000","27,112,000","1,472,000","11,748,000","56,743,000","-24,505,000","-30,360,000","-51,517,000","-58,834,000","-72,530,000","-97,515,000","-112,918,000","-189,397,000","-90,987,000","-71,921,000","-30,682,000","-17,822,000","-41,600,000","-17,000,000","-9,900,000","-9,700,000","-9,200,000","-7,000,000","-3,200,000","-13,300,000","4,200,000","2,200,000","900,000"
NetNonOperatingInterestIncomeExpense,"-233,000,000","188,000,000","-30,000,000","-179,000,000","-212,000,000","-249,000,000","-340,000,000","-425,000,000","-364,000,000","-364,000,000","-374,000,000","-329,000,000","-294,000,000","-314,000,000","-310,000,000","-268,000,000","-200,000,000","-244,000,000","-172,000,000","-168,000,000","-183,000,000","-237,000,000","-241,000,000","-249,000,000","-250,000,000","-273,000,000","-174,000,000","-99,000,000","-100,000,000","-104,000,000","-92,000,000","-92,000,000","-96,000,000","-102,000,000","-103,000,000","-102,000,000","-104,000,000","-66,000,000","-40,000,000","-34,000,000","-31,000,000","-29,000,000","-27,000,000","-24,000,000","-23,000,000","-19,000,000","-12,000,000","-11,000,000","-9,000,000","-6,000,000","-1,000,000","1,000,000","3,000,000","4,000,000","2,000,000","3,000,000","4,000,000","1,000,000","0","1,000,000","0","5,000,000","4,000,000","-1,000,000","4,000,000","8,000,000","4,000,000","1,000,000","1,000,000","-2,000,000","-7,000,000","-6,000,000","-6,000,000","-8,000,000","-10,000,000","-13,000,000","-17,000,000","-17,356,000","-19,000,000","-21,000,000","-22,000,000","-23,969,000","-25,478,000","-28,606,000","-29,971,000","-29,323,000","-30,322,000","-30,001,000","-29,592,000","-29,260,000","-28,730,000","-28,341,000","-23,798,000","-25,115,000","-24,407,000","-23,083,000","-17,495,000",,"-8,771,000","-15,460,000","-5,714,000",,,,,,,,,,,,
	InterestIncomeNonOperating,"2,949,000,000","901,000,000","776,000,000","661,000,000","611,000,000","445,000,000","277,000,000","159,000,000","108,000,000","118,000,000","119,000,000","106,000,000","105,000,000","100,000,000","118,000,000","135,000,000","202,000,000","211,000,000","224,000,000","215,000,000","183,000,000","150,000,000","117,000,000","94,000,000","80,000,000","65,000,000","54,000,000","44,000,000","39,000,000","29,000,000","26,000,000","24,000,000","21,000,000","13,000,000","13,000,000","12,000,000","11,000,000","8,000,000","9,000,000","11,000,000","11,000,000","10,000,000","9,000,000","9,000,000","10,000,000","8,000,000","10,000,000","10,000,000","12,000,000","14,000,000","16,000,000","16,000,000","15,000,000","15,000,000","13,000,000","12,000,000","11,000,000","9,000,000","7,000,000","8,000,000","12,000,000","16,000,000","21,000,000","20,000,000","26,000,000","28,000,000","23,000,000","20,000,000","20,000,000","18,000,000","14,000,000","13,000,000","15,000,000","14,000,000","12,000,000","9,000,000","9,000,000","9,778,000","7,000,000","5,000,000","6,000,000","5,330,000","4,324,000","5,761,000","6,540,000","6,785,000","5,600,000","5,650,000","5,652,000","6,030,000","6,316,000","6,807,000","9,950,000","10,979,000","9,402,000","10,314,000","10,126,000",,"12,699,000","12,860,000","10,920,000",,,,,,,,,,,,
	InterestExpenseNonOperating,"3,182,000,000","713,000,000","806,000,000","840,000,000","823,000,000","694,000,000","617,000,000","584,000,000","472,000,000","482,000,000","493,000,000","435,000,000","399,000,000","414,000,000","428,000,000","403,000,000","402,000,000","455,000,000","396,000,000","383,000,000","366,000,000","387,000,000","358,000,000","343,000,000","330,000,000","338,000,000","228,000,000","143,000,000","139,000,000","133,000,000","118,000,000","116,000,000","117,000,000","115,000,000","116,000,000","114,000,000","115,000,000","74,000,000","49,000,000","45,000,000","42,000,000","39,000,000","36,000,000","33,000,000","33,000,000","27,000,000","22,000,000","21,000,000","21,000,000","20,000,000","17,000,000","15,000,000","12,000,000","11,000,000","11,000,000","9,000,000","7,000,000","8,000,000","7,000,000","7,000,000","12,000,000","11,000,000","17,000,000","21,000,000","22,000,000","20,000,000","19,000,000","19,000,000","19,000,000","20,000,000","21,000,000","19,000,000","21,000,000","22,000,000","22,000,000","22,000,000","26,000,000","27,134,000","26,000,000","26,000,000","28,000,000","29,299,000","29,802,000","34,367,000","36,511,000","36,108,000","35,922,000","35,651,000","35,244,000","35,290,000","35,046,000","35,148,000","33,748,000","36,094,000","33,809,000","33,397,000","27,621,000",,"21,470,000","28,320,000","16,634,000",,,,,,,,,,,,
OtherIncomeExpense,"938,000,000","289,000,000","1,031,000,000","61,000,000","-443,000,000","-3,450,000,000","759,000,000","-5,545,000,000","-8,570,000,000","11,838,000,000","-163,000,000","1,261,000,000","1,697,000,000","1,206,000,000","925,000,000","646,000,000","-406,000,000","418,000,000","-353,000,000","-27,000,000","164,000,000","-199,000,000","-93,000,000","-129,000,000","239,000,000","17,000,000","143,000,000","137,000,000","48,000,000","15,000,000","8,000,000","-14,000,000","81,000,000","-69,000,000","-56,000,000",,"-130,000,000","-95,000,000","-50,000,000","22,000,000","5,000,000","-29,000,000","9,000,000","-38,000,000","-77,000,000","-49,000,000","18,000,000","50,000,000","-99,000,000","19,000,000","52,000,000","23,000,000","-18,000,000","29,000,000","22,000,000","24,000,000","3,000,000","-6,000,000","11,000,000","19,000,000","4,000,000","25,000,000","24,000,000","-8,000,000","5,000,000","2,000,000","-3,000,000","-6,000,000","-2,000,000","-7,000,000","5,000,000","13,000,000","-4,000,000","4,000,000","6,000,000","17,000,000","17,000,000","-30,979,000","-5,000,000","16,000,000","20,800,000","-43,385,000","-10,890,000","-56,531,000","-19,375,000","-33,604,000","-31,313,000","-63,856,000","-4,363,000","-20,541,000","-111,657,000","-99,343,000","-135,118,000","-423,632,000","-75,266,000","-86,134,000","-89,748,000","-47,877,000","-73,963,000","-41,033,000","-21,348,000","-24,247,000","4,800,000","3,300,000","1,600,000","800,000","700,000","400,000","100,000",,,,
	GainOnSaleOfSecurity,"1,115,000,000","270,000,000","1,082,000,000","98,000,000","-335,000,000","-3,002,000,000","777,000,000","-5,505,000,000","-8,536,000,000","11,873,000,000","-131,000,000","1,237,000,000","1,673,000,000",,"932,000,000","666,000,000","-405,000,000","418,000,000","-353,000,000","-27,000,000","164,000,000","-199,000,000","-93,000,000","-129,000,000","239,000,000","17,000,000","143,000,000","137,000,000","48,000,000","15,000,000","8,000,000","-14,000,000","81,000,000","-69,000,000","-56,000,000",,"-130,000,000","-95,000,000","-50,000,000","22,000,000","5,000,000","-29,000,000","9,000,000","-38,000,000","-77,000,000",,"18,000,000","50,000,000","-99,000,000",,,,,,,,"3,000,000",,"10,000,000","16,000,000","4,000,000","17,000,000","24,000,000","-7,000,000","3,000,000","2,000,000","-1,000,000","-2,000,000","-1,000,000",,"-1,000,000","10,000,000","-2,000,000",,,"17,000,000","3,400,000","-20,813,000","-6,485,000","3,000,000","100,000","-39,071,000","-13,093,000","-47,097,000","-17,713,000","56,869,000","5,019,000","-57,982,000","6,195,000","16,312,000","-63,424,000","11,054,000","11,457,000","-155,005,000","12,366,000",,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000","-2,000,000",,"-5,000,000","-4,000,000","-2,000,000",,,,,,,,,,,,,,,,,"0",,,"-436,000","-700,000","-557,000","-1,168,000","-1,744,000","-1,855,000","-4,982,000","-10,315,000","-13,175,000","-37,559,000","-68,321,000","-110,452,000","-88,264,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,000,000","50,000,000","-145,000,000","-23,000,000","52,000,000","23,000,000","-51,000,000","0","-4,000,000","-1,000,000","-23,000,000","-108,000,000","2,000,000","-41,000,000","4,000,000","-21,000,000","24,000,000","37,000,000","5,000,000","-6,000,000","-3,000,000","-6,000,000","-2,000,000","-30,000,000","5,000,000","13,000,000","-4,000,000","47,000,000","-34,000,000","17,000,000","16,000,000","-14,660,000","-10,000,000","23,000,000","22,877,000","-1,549,000","1,071,000","-9,736,000","-585,000","4,812,000","-36,855,000","-5,390,000","-9,974,000","-42,218,000","-45,825,000","-109,503,000","-142,691,000","-263,262,000","-90,985,000","-82,862,000","-84,974,000","-49,548,000","-76,122,000","-40,959,000","-21,299,000","-24,247,000","4,800,000","3,300,000","1,600,000","800,000","700,000","400,000","100,000",,,,
