name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
	OtherunderPreferredStockDividend,,,"2,000,000","0",,,"0","3,000,000",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,"0","0","0","0",,"0","0","0",,,"1,000,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"14,999,000,000","7,927,000,000","1,851,000,000","2,703,000,000","2,513,000,000","3,722,000,000","3,292,000,000","2,256,000,000","3,318,000,000","2,321,000,000","1,619,000,000","1,144,000,000","438,000,000","239,000,000","300,000,000","104,000,000","16,000,000","105,000,000","143,000,000","-408,000,000","-702,000,000","139,483,000","311,000,000","-717,539,000","-709,551,000","-675,350,000","-619,376,000","-336,397,000","-330,277,000","-121,337,000","21,878,000","-293,188,000","-282,267,000","-320,397,000","-229,858,000","-184,227,000","-154,181,000","-107,629,000","-74,708,000","-61,900,000","-49,800,000","-16,264,000","-38,496,000","-30,502,000","11,248,000","-89,931,000","-110,804,000","-105,603,000","-89,873,000","-81,489,000","-65,078,000","-58,903,000","-48,941,000","-51,358,000","-34,935,000","-38,517,000","-29,519,000","-24,242,000","-4,615,000","-10,867,000","-16,016,000","-25,498,000"
BasicEPS,"4.73",,"0.58","0.85","0.8","1.18","1.05","0.73","1.07","0.763","0.54","0.393","0.153","0.093","0.107","0.037","0.007","0.039","0.053","-0.154","-0.273","0.054","0.121","-0.281","-0.279","-0.267","-0.247","-0.136","-0.136","-0.052","0.01","-0.139","-0.142","-0.163","-0.119","-0.097","-0.081","-0.057","-0.04","-0.033","-0.027","-0.009","-0.021","-0.017","0.007","-0.053","-0.07","-0.067","-0.057",,"-0.042","-0.04","-0.034",,"-0.025","-0.336","-0.021",,"-0.002","-0.005","-0.008",
DilutedEPS,"4.3",,"0.53","0.78","0.73","1.07","0.95","0.65","0.95","0.683","0.48","0.34","0.13","0.08","0.09","0.033","0.007","0.037","0.053","-0.154","-0.273","0.052","0.117","-0.281","-0.279","-0.267","-0.247","-0.136","-0.136","-0.052","0.009","-0.139","-0.142","-0.163","-0.119","-0.097","-0.081","-0.057","-0.04","-0.033","-0.027","-0.009","-0.021","-0.017","0.006","-0.053","-0.07","-0.067","-0.057",,"-0.042","-0.04","-0.034",,"-0.025","-0.336","-0.021",,"-0.002","-0.005","-0.008",
BasicAverageShares,"3,174,000,000",,"3,176,000,000","3,171,000,000","3,166,000,000","3,160,000,000","3,146,000,000","3,111,000,000","3,103,000,000","3,045,000,000","2,993,000,000","2,913,000,000","2,883,000,000","2,853,000,000","2,811,000,000","2,784,000,000","2,745,000,000","2,700,000,000","2,691,000,000","2,655,000,000","2,595,000,000","2,580,390,000","2,565,000,000","2,549,955,000","2,537,190,000","2,524,710,000","2,509,410,000","2,478,180,000","2,431,935,000","2,325,360,000","2,234,865,000","2,099,745,000","1,990,140,000","1,966,500,000","1,935,090,000","1,900,335,000","1,889,205,000","1,882,455,000","1,873,665,000","1,863,756,420","1,852,091,730","1,842,030,000","1,827,937,455","1,772,904,120","1,720,678,485","1,706,445,000","1,583,342,430","1,578,636,780","1,571,765,145",,"1,561,152,450","1,466,358,990","1,427,810,175",,"1,384,060,815","114,651,975","1,396,640,895",,"2,099,745,000","2,099,745,000","2,099,745,000",
DilutedAverageShares,"3,485,000,000",,"3,493,000,000","3,478,000,000","3,468,000,000","3,471,000,000","3,468,000,000","3,464,000,000","3,472,000,000","4,305,000,000","3,369,000,000","3,357,000,000","3,399,000,000","3,372,000,000","3,315,000,000","3,108,000,000","2,982,000,000","2,805,000,000","2,766,000,000","2,655,000,000","2,595,000,000","2,685,390,000","2,670,000,000","2,549,955,000","2,537,190,000","2,524,710,000","2,509,410,000","2,478,180,000","2,431,935,000","2,325,360,000","2,354,025,000","2,099,745,000","1,990,140,000","1,966,500,000","1,935,090,000","1,900,335,000","1,889,205,000","1,882,455,000","1,873,665,000","1,863,756,420","1,852,091,730","1,842,030,000","1,827,937,455","1,772,904,120","1,863,979,380","1,706,445,000","1,583,342,430","1,578,636,780","1,571,765,145",,"1,561,152,450","1,466,358,990","1,427,810,175",,"1,384,060,815","114,651,975","1,396,640,895",,"2,099,745,000","2,099,745,000","2,099,745,000",
TotalOperatingIncomeAsReported,"8,891,000,000","2,064,000,000","1,764,000,000","2,399,000,000","2,664,000,000","3,901,000,000","3,688,000,000","2,464,000,000","3,603,000,000","-10,433,000,000","2,004,000,000","1,312,000,000","594,000,000","575,000,000","809,000,000","327,000,000","283,000,000","359,000,000","261,000,000","-167,000,000","-522,000,000","413,536,000","416,000,000","-621,392,000","-596,974,000","-598,141,000","-535,480,000","-240,916,000","-257,549,000","-266,698,000","85,622,000","-238,040,000","-248,224,000","-260,333,000","-183,662,000","-170,188,000","-102,446,000","-74,838,000","-39,129,000","-28,753,000","-43,967,000","-13,353,000","-30,554,000","-11,792,000","-5,584,000","-90,883,000","-108,460,000","-106,175,000","-88,763,000","-80,927,000","-64,477,000","-58,739,000","-47,346,000","-51,645,000","-37,834,000","-31,362,000","-25,998,000","-22,925,000","-4,291,000","-8,087,000","-16,594,000","-23,224,000"
TotalExpenses,"87,882,000,000","23,103,000,000","21,586,000,000","22,528,000,000","20,665,000,000","20,383,000,000","17,766,000,000","14,328,000,000","15,153,000,000","15,106,000,000","11,702,000,000","10,623,000,000","9,896,000,000","10,169,000,000","7,962,000,000","5,709,000,000","5,702,000,000","7,037,000,000","6,042,000,000","6,400,000,000","5,019,000,000","6,806,722,000","6,381,000,000","4,520,189,000","4,005,725,000","3,886,390,000","3,520,155,000","3,030,473,000","2,953,819,000","2,551,329,000","2,212,814,000","1,508,057,000","1,395,272,000","1,474,713,000","1,120,451,000","1,125,164,000","1,042,326,000","1,031,499,000","890,933,000","798,102,000","664,509,000","628,572,000","461,900,000","416,931,000","567,376,000","397,215,000","158,564,000","132,828,000","118,930,000","120,302,000","122,143,000","116,910,000","96,376,000","87,931,000","69,075,000","59,767,000","46,810,000","41,510,000","49,818,000","35,032,000","37,480,000","37,386,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"14,999,000,000","7,930,000,000","1,853,000,000","2,703,000,000","2,513,000,000","3,714,000,000","3,292,000,000","2,259,000,000","3,318,000,000","2,321,000,000","1,618,000,000","1,142,000,000","438,000,000","239,000,000","300,000,000","104,000,000","16,000,000","105,000,000","143,000,000","-408,000,000","-702,000,000","139,483,000","311,000,000","-717,539,000","-709,551,000","-675,350,000","-619,376,000","-336,397,000","-330,277,000","-121,337,000","21,878,000","-293,188,000","-282,267,000","-320,397,000","-229,858,000","-184,227,000","-154,181,000","-107,629,000","-74,708,000","-61,900,000","-49,800,000","-16,264,000","-38,496,000","-30,502,000","11,248,000","-89,931,000","-110,804,000","-105,603,000","-89,873,000","-81,489,000","-65,078,000","-58,903,000","-48,941,000","-51,358,000","-34,935,000","-38,517,000","-29,519,000","-24,242,000","-4,615,000","-10,867,000","-16,016,000","-25,498,000"
NormalizedIncome,"14,999,000,000","7,930,000,000","1,853,000,000","2,703,000,000","2,513,000,000","3,745,643,986.945","3,292,000,000","2,389,640,000","3,318,000,000","2,321,000,000","1,662,880,000","1,162,930,000","350,130,000","239,000,000","300,000,000","104,000,000","16,000,000","95,896,551.724","143,000,000","-322,590,000","-669,880,000","144,568,395.377","336,380,000","-642,032,180","-709,551,000","-675,350,000","-619,376,000","-336,397,000","-330,277,000","-121,337,000","21,878,000","-293,188,000","-282,267,000","-320,397,000","-229,858,000","-184,227,000","-154,181,000","-107,629,000","-74,708,000","-61,900,000","-49,800,000","-16,264,000","-38,496,000","-30,502,000","11,248,000","-89,931,000","-110,804,000","-105,603,000","-89,873,000","-81,166,600","-64,691,900","-58,903,000","-48,941,000","-51,544,865.376","-37,002,000","-38,517,000","-27,425,350","-23,510,750","-4,064,140.463","-9,752,250","-17,297,800","-24,721,900"
InterestIncome,"1,066,000,000","333,000,000","282,000,000","238,000,000","213,000,000","157,000,000","86,000,000","26,000,000","28,000,000","25,000,000","10,000,000","11,000,000","10,000,000","6,000,000","6,000,000","8,000,000","10,000,000","10,000,000","15,000,000","10,000,000","9,000,000","7,348,000","7,000,000","5,064,000","5,214,000","6,280,000","5,531,000","4,785,000","3,090,000","2,179,000","2,858,000","2,242,000","1,251,000","750,000","327,000","247,000","184,000","219,000","300,000","467,000","141,000","92,000","68,000","39,000","10,000","85,000","38,000","74,000","90,000","89,000","80,000","46,000","40,000","63,000","100,000","47,000","48,000","62,000","52,000","29,000","16,000","43,000"
InterestExpense,"156,000,000","61,000,000","38,000,000","28,000,000","29,000,000","33,000,000","53,000,000","44,000,000","61,000,000","71,000,000","126,000,000","75,000,000","99,000,000","246,000,000","163,000,000","170,000,000","169,000,000","170,000,000","185,000,000","172,000,000","158,000,000","174,723,000","175,000,000","163,582,000","149,546,000","146,363,000","117,109,000","108,441,000","99,346,000","65,104,000","46,713,000","46,368,000","40,625,000","38,617,000","29,308,000","24,352,000","26,574,000","28,703,000","29,062,000","31,238,000","11,883,000","6,229,000","6,492,000","20,116,000","118,000","26,000","78,000","84,000","65,000","43,000","0","0","0","0","298,000","464,000","230,000","25,000","18,000","1,086,000","1,402,000","1,099,000"
NetInterestIncome,"910,000,000","272,000,000","244,000,000","210,000,000","184,000,000","124,000,000","33,000,000","-18,000,000","-33,000,000","-46,000,000","-116,000,000","-64,000,000","-89,000,000","-240,000,000","-157,000,000","-162,000,000","-159,000,000","-160,000,000","-170,000,000","-162,000,000","-149,000,000","-167,375,000","-168,000,000","-158,518,000","-144,332,000","-140,083,000","-111,578,000","-103,656,000","-96,256,000","-62,925,000","-43,855,000","-44,126,000","-39,374,000","-37,867,000","-28,981,000","-24,105,000","-26,390,000","-28,484,000","-28,762,000","-30,771,000","-11,742,000","-6,137,000","-6,424,000","-20,077,000","-108,000","59,000","-40,000","-10,000","25,000","46,000","80,000","46,000","40,000","63,000","-198,000","-417,000","-182,000","37,000","34,000","-1,057,000","-1,386,000","-1,056,000"
EBIT,"10,129,000,000","2,252,000,000","2,083,000,000","2,965,000,000","2,829,000,000","4,016,000,000","3,689,000,000","2,518,000,000","3,687,000,000","2,706,000,000","2,008,000,000","1,368,000,000","632,000,000","625,000,000","718,000,000","320,000,000","239,000,000","344,000,000","361,000,000","-198,000,000","-487,000,000","406,679,000","446,000,000","-565,417,000","-629,476,000","-633,538,000","-554,339,000","-277,339,000","-272,557,000","-143,295,000","76,724,000","-243,171,000","-237,796,000","-276,732,000","-198,766,000","-156,708,000","-124,567,000","-75,207,000","-41,919,000","-29,512,000","-37,108,000","-8,677,000","-31,226,000","-10,085,000","11,517,000","-90,053,000","-110,610,000","-105,410,000","-89,749,000","-81,334,000","-64,991,000","-58,764,000","-48,791,000","-51,395,000","-34,554,000","-38,044,000","-29,171,000","-23,988,000","-4,816,000","-9,773,000","-14,606,000","-24,375,000"
EBITDA,"14,796,000,000","3,484,000,000","3,318,000,000","4,119,000,000","3,875,000,000","5,005,000,000","4,645,000,000","3,440,000,000","4,567,000,000","3,554,000,000","2,769,000,000","2,049,000,000","1,253,000,000","1,243,000,000","1,302,000,000","887,000,000","792,000,000","921,000,000","891,000,000","381,000,000","-19,000,000","903,416,000","948,512,000","-80,162,000","-213,243,000","-163,932,000","-153,715,000","111,832,000","104,045,000","183,644,000","357,192,000","-59,939,000","-81,336,000","-133,009,000","-88,400,000","-65,319,000","-47,455,000","-7,231,000","23,053,000","25,203,000","7,160,000","28,908,000","-2,776,000","12,113,000","29,367,000","-77,261,000","-103,088,000","-101,062,000","-85,586,000","-76,530,000","-60,711,000","-54,446,000","-45,274,000","-48,505,000","-31,445,000","-35,561,000","-27,030,000","-22,053,000","-2,868,000","-8,088,000","-13,234,000","-23,081,000"
ReconciledCostOfRevenue,"79,113,000,000","20,729,000,000","19,172,000,000","20,394,000,000","18,818,000,000","18,541,000,000","16,072,000,000","12,700,000,000","13,296,000,000","12,872,000,000","10,097,000,000","9,074,000,000","8,174,000,000","8,678,000,000","6,708,000,000","4,769,000,000","4,751,000,000","5,993,000,000","5,112,000,000","5,429,000,000","3,975,000,000","5,782,973,000","5,300,000,000","3,383,301,000","2,952,225,000","2,849,463,000","2,535,535,000","2,122,942,000","2,028,324,000","1,849,353,000","1,661,701,000","995,241,000","894,580,000","995,816,000","705,293,000","741,606,000","679,807,000","694,964,000","599,953,000","556,354,000","465,414,000","458,630,000","328,478,000","304,656,000","465,472,000","282,475,000","58,865,000","21,891,000","19,957,000","31,540,000","40,442,000","39,663,000","31,002,000","24,965,000","21,945,000","22,144,000","16,960,000","16,804,000","37,828,000","24,844,000","22,932,000","15,864,000"
ReconciledDepreciation,"4,667,000,000","1,232,000,000","1,235,000,000","1,154,000,000","1,046,000,000","989,000,000","956,000,000","922,000,000","880,000,000","848,000,000","761,000,000","681,000,000","621,000,000","618,000,000","584,000,000","567,000,000","553,000,000","577,000,000","530,000,000","579,000,000","468,000,000","496,737,000","502,512,000","485,255,000","416,233,000","469,606,000","400,624,000","389,171,000","376,602,000","326,939,000","280,468,000","183,232,000","156,460,000","143,723,000","110,366,000","91,389,000","77,112,000","67,976,000","64,972,000","54,715,000","44,268,000","37,585,000","28,450,000","22,198,000","17,850,000","12,792,000","7,522,000","4,348,000","4,163,000","4,804,000","4,280,000","4,318,000","3,517,000","2,890,000","3,109,000","2,483,000","2,141,000","1,935,000","1,948,000","1,685,000","1,372,000","1,294,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"14,999,000,000","7,930,000,000","1,853,000,000","2,703,000,000","2,513,000,000","3,714,000,000","3,292,000,000","2,259,000,000","3,318,000,000","2,321,000,000","1,618,000,000","1,142,000,000","438,000,000","239,000,000","300,000,000","104,000,000","16,000,000","105,000,000","143,000,000","-408,000,000","-702,000,000","139,483,000","311,000,000","-717,539,000","-709,551,000","-675,350,000","-619,376,000","-336,397,000","-330,277,000","-121,337,000","21,878,000","-293,188,000","-282,267,000","-320,397,000","-229,858,000","-184,227,000","-154,181,000","-107,629,000","-74,708,000","-61,900,000","-49,800,000","-16,264,000","-38,496,000","-30,502,000","11,248,000","-89,931,000","-110,804,000","-105,603,000","-89,873,000","-81,489,000","-65,078,000","-58,903,000","-48,941,000","-51,358,000","-34,935,000","-38,517,000","-29,519,000","-24,242,000","-4,615,000","-10,867,000","-16,016,000","-25,498,000"
TotalUnusualItemsExcludingGoodwill,"0","0","0","0",,"-34,000,000","0","-142,000,000","0","0","-51,000,000","-23,000,000","101,000,000","0","0","0","0","12,000,000","0","-117,000,000","-44,000,000","-5,615,000","-27,000,000","-103,434,000","0",,"0",,,,,,,,,,,,,,,,,,,,"-2,188,000",,,"-496,000","-594,000",,"-1,485,000","187,000","3,180,000","-6,729,000","-3,221,000","-1,125,000","-577,000","-1,715,000","1,972,000","-1,194,000"
TotalUnusualItems,"0","0","0","0",,"-34,000,000","0","-142,000,000","0","0","-51,000,000","-23,000,000","101,000,000","0","0","0","0","12,000,000","0","-117,000,000","-44,000,000","-5,615,000","-27,000,000","-103,434,000","0",,"0",,,,,,,,,,,,,,,,,,,,"-2,188,000",,,"-496,000","-594,000",,"-1,485,000","187,000","3,180,000","-6,729,000","-3,221,000","-1,125,000","-577,000","-1,715,000","1,972,000","-1,194,000"
NormalizedEBITDA,"14,796,000,000","3,484,000,000","3,318,000,000","4,119,000,000","3,875,000,000","5,039,000,000","4,645,000,000","3,582,000,000","4,567,000,000","3,554,000,000","2,820,000,000","2,072,000,000","1,152,000,000","1,243,000,000","1,302,000,000","887,000,000","792,000,000","909,000,000","891,000,000","498,000,000","25,000,000","909,031,000","975,512,000","23,272,000","-213,243,000","-163,932,000","-153,715,000","111,832,000","104,045,000","183,644,000","357,192,000","-59,939,000","-81,336,000","-133,009,000","-88,400,000","-65,319,000","-47,455,000","-7,231,000","23,053,000","25,203,000","7,160,000","28,908,000","-2,776,000","12,113,000","29,367,000","-77,261,000","-103,088,000","-101,062,000","-85,586,000","-76,034,000","-60,117,000","-54,446,000","-45,274,000","-48,692,000","-34,625,000","-35,561,000","-23,809,000","-20,928,000","-2,291,000","-6,373,000","-15,206,000","-21,887,000"
TaxRateForCalcs,"0.21","0.21","0.08","0.11","0.09","0.069","0.08","0.08","0.1","0.111","0.12","0.09","0.13","0.219","0.34","0.14","0.03","0.241","0.15","0.27","0.27","0.094","0.06","0.27","0.27","0.012","0","0.4","0.4","0.4","0.271","0.4","0.4","0.4","0.4","0.4","0.4","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.013","0.002","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.001","0.35","0.35","0.35","0.35","0.045","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"0","0","0","0","0","-2,356,013.055","0","-11,360,000","0","0","-6,120,000","-2,070,000","13,130,000","0","0","0","0","2,896,551.724","0","-31,590,000","-11,880,000","-529,604.623","-1,620,000","-27,927,180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-173,600","-207,900","0","0","134.624","1,113,000","0","-1,127,350","-393,750","-26,140.463","-600,250","690,200","-417,900"
