name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,06/30/2003
	OtherNonOperatingIncomeExpenses,"556,000,000","-92,000,000","299,000,000","99,000,000","250,000,000","297,000,000","197,000,000","577,000,000","108,000,000","-108,000,000","-484,000,000","-613,000,000","-292,000,000","-825,000,000","-223,000,000","-222,000,000","24,000,000","-65,000,000","295,000,000","-390,000,000","-64,000,000","68,000,000","-266,000,000","-189,000,000","-420,000,000","44,000,000","47,000,000","34,000,000","34,000,000","35,000,000","22,000,000","18,000,000","13,000,000","35,000,000","49,000,000","33,000,000","35,000,000","31,000,000","26,000,000","15,000,000","28,000,000","16,000,000","22,000,000","20,000,000","-24,000,000","16,000,000","25,000,000","1,000,000","17,000,000","25,000,000","27,000,000","2,000,000","11,000,000","4,000,000","3,000,000","-4,000,000","3,000,000","4,881,000","1,000,000","-2,000,000","-1,000,000","1,409,000","752,000","5,318,000","-2,957,000","22,833,000","-4,423,000","-424,000","-7,458,000",,"-29,000","57,795,000","-10,997,000",,"-4,166,000",,,,,,,
PretaxIncome,"85,717,000,000","24,412,000,000","21,197,000,000","21,903,000,000","18,205,000,000","17,147,000,000","16,233,000,000","19,014,000,000","18,934,000,000","24,402,000,000","23,064,000,000","21,985,000,000","21,283,000,000","18,689,000,000","13,359,000,000","8,277,000,000","7,757,000,000","10,704,000,000","8,628,000,000","12,147,000,000","8,146,000,000","10,072,000,000","10,083,000,000","4,215,000,000","10,543,000,000","8,018,000,000","7,979,000,000","4,377,000,000","6,819,000,000","6,857,000,000","6,045,000,000","6,119,000,000","5,129,000,000","5,200,000,000","4,891,000,000","4,956,000,000","4,604,000,000","4,527,000,000","3,857,000,000","4,403,000,000","4,472,000,000","4,047,000,000","3,775,000,000","3,701,000,000","3,882,000,000","3,585,000,000","2,805,000,000","3,490,000,000","3,545,000,000","3,489,000,000","3,360,000,000","3,085,000,000","2,392,000,000","3,142,000,000","2,714,000,000","2,434,000,000","2,506,000,000","2,568,671,000","2,067,000,000","1,856,000,000","1,890,000,000","835,347,000","1,668,782,000","1,635,888,000","1,713,578,000","1,608,027,000","1,472,270,000","1,241,745,000","1,351,937,000","1,184,734,000","1,039,511,000","976,177,000","810,618,000","639,833,000","549,968,000","495,420,000","456,456,000","310,173,000","14,978,000","169,460,000","155,623,000","105,550,000"
TaxProvision,"11,922,000,000","3,725,000,000","1,508,000,000","3,535,000,000","3,154,000,000","3,523,000,000","2,323,000,000","3,012,000,000","2,498,000,000","3,760,000,000","4,128,000,000","3,460,000,000","3,353,000,000","3,462,000,000","2,112,000,000","1,318,000,000","921,000,000","33,000,000","1,560,000,000","2,200,000,000","1,489,000,000","1,124,000,000","891,000,000","1,020,000,000","1,142,000,000","11,038,000,000","1,247,000,000","853,000,000","1,393,000,000","1,524,000,000","984,000,000","1,242,000,000","922,000,000","277,000,000","912,000,000","1,025,000,000","1,089,000,000","737,000,000","933,000,000","984,000,000","822,000,000","666,000,000","612,000,000","927,000,000","354,000,000","648,000,000","647,000,000","657,000,000","655,000,000","785,000,000","631,000,000","580,000,000","594,000,000","599,000,000","547,000,000","594,000,000","551,000,000","594,571,000","428,000,000","371,000,000","467,000,000","452,905,000","378,844,000","388,497,000","406,492,000","401,578,000","402,281,000","316,625,000","349,775,000","154,017,000","306,150,000","255,100,000","218,327,000","267,625,000","168,786,000","152,606,000","87,263,000","106,073,000","-37,005,000","90,397,000","91,650,000","73,382,000"
NetIncomeCommonStockholders,"73,795,000,000","20,687,000,000","19,689,000,000","18,368,000,000","15,051,000,000","13,624,000,000","13,910,000,000","16,002,000,000","16,436,000,000","20,642,000,000","18,936,000,000","18,435,000,000","17,930,000,000","15,227,000,000","11,247,000,000","6,959,000,000","6,836,000,000","10,671,000,000","7,068,000,000","9,947,000,000","6,657,000,000","8,948,000,000","9,192,000,000","3,195,000,000","9,401,000,000","-3,020,000,000","6,732,000,000","3,524,000,000","5,426,000,000","5,333,000,000","5,061,000,000","4,877,000,000","4,207,000,000","4,923,000,000","3,979,000,000","3,409,000,000","3,515,000,000","4,757,000,000","2,739,000,000","3,351,000,000","3,452,000,000","3,376,000,000","2,970,000,000","3,228,000,000","3,346,000,000","2,886,000,000","2,176,000,000","2,785,000,000","2,890,000,000","2,704,000,000","2,729,000,000","2,505,000,000","1,798,000,000","2,543,000,000","2,167,000,000","1,840,000,000","1,955,000,000","1,974,100,000","1,639,000,000","1,485,000,000","1,423,000,000","382,442,000","1,289,938,000","1,247,391,000","1,307,086,000","1,206,449,000","1,069,989,000","925,120,000","1,002,162,000","1,030,717,000","733,361,000","721,077,000","592,291,000","372,208,000","381,182,000","342,814,000","369,193,000","204,100,000","51,983,000","79,063,000","63,973,000","32,168,000"
	NetIncome,"73,795,000,000","20,687,000,000","19,689,000,000","18,368,000,000","15,051,000,000","13,624,000,000","13,910,000,000","16,002,000,000","16,436,000,000","20,642,000,000","18,936,000,000","18,525,000,000","17,930,000,000","15,227,000,000","11,247,000,000","6,959,000,000","6,836,000,000","10,671,000,000","7,068,000,000","9,947,000,000","6,657,000,000","8,948,000,000","9,192,000,000","3,195,000,000","9,401,000,000","-3,020,000,000","6,732,000,000","3,524,000,000","5,426,000,000","5,333,000,000","5,061,000,000","4,877,000,000","4,207,000,000","4,923,000,000","3,979,000,000","3,931,000,000","3,515,000,000","4,757,000,000","2,739,000,000","3,351,000,000","3,452,000,000","3,376,000,000","2,970,000,000","3,228,000,000","3,346,000,000","2,886,000,000","2,176,000,000","2,785,000,000","2,890,000,000","2,704,000,000","2,729,000,000","2,505,000,000","1,798,000,000","2,543,000,000","2,167,000,000","1,840,000,000","1,955,000,000","1,974,100,000","1,639,000,000","1,485,000,000","1,423,000,000","382,442,000","1,289,938,000","1,247,391,000","1,307,086,000","1,206,449,000","1,069,989,000","925,120,000","1,002,162,000","1,030,717,000","733,361,000","721,077,000","592,291,000","372,208,000","381,182,000","342,814,000","369,193,000","204,100,000","51,983,000","79,063,000","63,973,000","32,168,000"
		NetIncomeIncludingNoncontrollingInterests,"73,795,000,000","20,687,000,000","19,689,000,000","18,368,000,000","15,051,000,000","13,624,000,000","13,910,000,000","16,002,000,000","16,436,000,000","20,642,000,000","18,936,000,000","18,525,000,000","17,930,000,000","15,227,000,000","11,247,000,000","6,959,000,000","6,836,000,000","10,671,000,000","7,068,000,000","9,947,000,000","6,657,000,000","8,948,000,000","9,192,000,000","3,195,000,000","9,401,000,000","-3,020,000,000","6,732,000,000","3,524,000,000","5,426,000,000","5,333,000,000","5,061,000,000","4,877,000,000","4,207,000,000","4,923,000,000","3,979,000,000","3,931,000,000","3,515,000,000","4,757,000,000","2,739,000,000","3,351,000,000","3,452,000,000","3,376,000,000","2,970,000,000","3,228,000,000","3,346,000,000","2,886,000,000","2,176,000,000","2,785,000,000","2,890,000,000","2,704,000,000","2,729,000,000","2,505,000,000","1,798,000,000","2,543,000,000","2,167,000,000","1,840,000,000","1,955,000,000","1,974,100,000","1,639,000,000","1,485,000,000","1,423,000,000","382,442,000","1,289,938,000","1,247,391,000","1,307,086,000","1,206,449,000","1,069,989,000","925,120,000","1,002,162,000","1,030,717,000","733,361,000","721,077,000","592,291,000","372,208,000","381,182,000","342,814,000","369,193,000","204,100,000","51,983,000","79,063,000","63,973,000","32,168,000"
			NetIncomeContinuousOperations,"73,795,000,000","20,687,000,000","19,689,000,000","18,368,000,000","15,051,000,000","13,624,000,000","13,910,000,000","16,002,000,000","16,436,000,000","20,642,000,000","18,936,000,000","18,525,000,000","17,930,000,000","15,227,000,000","11,247,000,000","6,959,000,000","6,836,000,000","10,671,000,000","7,068,000,000","9,947,000,000","6,657,000,000","8,948,000,000","9,192,000,000","3,195,000,000","9,401,000,000","-3,020,000,000","6,732,000,000","3,524,000,000","5,426,000,000","5,333,000,000","5,061,000,000","4,877,000,000","4,207,000,000","4,923,000,000","3,979,000,000","3,931,000,000","3,515,000,000","3,790,000,000","2,924,000,000","3,419,000,000","3,650,000,000","3,381,000,000","3,163,000,000","2,774,000,000","3,528,000,000","2,937,000,000","2,158,000,000","2,833,000,000","2,890,000,000","2,704,000,000","2,729,000,000","2,505,000,000","1,798,000,000","2,543,000,000","2,167,000,000","1,840,000,000","1,955,000,000","1,974,100,000","1,639,000,000","1,485,000,000","1,423,000,000","382,442,000","1,289,938,000","1,247,391,000","1,307,086,000","1,206,449,000","1,069,989,000","925,120,000","1,002,162,000","1,030,717,000","733,361,000","721,077,000","592,291,000","372,208,000","381,182,000","342,814,000","369,193,000","204,100,000","51,983,000","79,063,000","63,973,000","32,168,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","967,000,000","-185,000,000","-68,000,000","-198,000,000","-5,000,000","-193,000,000","454,000,000","-182,000,000",,"18,000,000","-48,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,,,,,"0",,,,"90,000,000",,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","522,000,000",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,,,,,,,,"1,072,000,000",,,,"1,336,000,000",,,,"470,000,000",,,,"661,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
