Date,Date,Open,y_label,OperatingCashFlow,"	CashFlowFromContinuingOperatingActivities","		NetIncomeFromContinuingOperations","		OperatingGainsLosses","			GainLossOnSaleOfBusiness","			GainLossOnInvestmentSecurities","		DepreciationAmortizationDepletion","			DepreciationAndAmortization","				Depreciation","				AmortizationCashFlow","					AmortizationOfIntangibles","		DeferredTax","			DeferredIncomeTax","		StockBasedCompensation","		ExcessTaxBenefitFromStockBasedCompensation","		OtherNonCashItems","		ChangeInWorkingCapital","			ChangeInReceivables","				ChangesInAccountReceivables","			ChangeInInventory","			ChangeInPrepaidAssets","			ChangeInPayablesAndAccruedExpense","				ChangeInPayable","					ChangeInTaxPayable","						ChangeInIncomeTaxPayable","					ChangeInAccountPayable","				ChangeInAccruedExpense","			ChangeInOtherCurrentAssets","			ChangeInOtherCurrentLiabilities","			ChangeInOtherWorkingCapital",InvestingCashFlow,"	CashFlowFromContinuingInvestingActivities","		NetPPEPurchaseAndSale","			PurchaseOfPPE","			SaleOfPPE","		NetIntangiblesPurchaseAndSale","			PurchaseOfIntangibles","		NetBusinessPurchaseAndSale","			PurchaseOfBusiness","			SaleOfBusiness","		NetInvestmentPurchaseAndSale","			PurchaseOfInvestment","			SaleOfInvestment","		NetOtherInvestingChanges",FinancingCashFlow,"	CashFlowFromContinuingFinancingActivities","		NetIssuancePaymentsOfDebt","			NetLongTermDebtIssuance","				LongTermDebtIssuance","				LongTermDebtPayments","			NetShortTermDebtIssuance","				ShortTermDebtIssuance","				ShortTermDebtPayments","		NetCommonStockIssuance","			CommonStockIssuance","			CommonStockPayments","		ProceedsFromStockOptionExercised","		NetOtherFinancingCharges",EndCashPosition,"	ChangesInCash","	EffectOfExchangeRateChanges","	BeginningCashPosition","	OtherCashAdjustmentOutsideChangeinCash",IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow,Date,TotalRevenue,"	OperatingRevenue",CostOfRevenue,GrossProfit,OperatingExpense,"	SellingGeneralAndAdministration","		GeneralAndAdministrativeExpense","			OtherGandA","		SellingAndMarketingExpense","	ResearchAndDevelopment","	OtherOperatingExpenses",OperatingIncome,NetNonOperatingInterestIncomeExpense,"	InterestIncomeNonOperating","	InterestExpenseNonOperating",OtherIncomeExpense,"	GainOnSaleOfSecurity","	EarningsFromEquityInterest","	SpecialIncomeCharges","		OtherSpecialCharges","		GainOnSaleOfBusiness","	OtherNonOperatingIncomeExpenses",PretaxIncome,TaxProvision,NetIncomeCommonStockholders,"	NetIncome","		NetIncomeIncludingNoncontrollingInterests","			NetIncomeContinuousOperations","			NetIncomeDiscontinuousOperations","	OtherunderPreferredStockDividend",AverageDilutionEarnings,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,Date,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,Date,TotalAssets,"	CurrentAssets","		CashCashEquivalentsAndShortTermInvestments","			CashAndCashEquivalents","				CashFinancial","				CashEquivalents","			OtherShortTermInvestments","		Receivables","			AccountsReceivable","				GrossAccountsReceivable","				AllowanceForDoubtfulAccountsReceivable","			TaxesReceivable","			OtherReceivables","		Inventory","			RawMaterials","			FinishedGoods","		PrepaidAssets","		RestrictedCash","		CurrentDeferredAssets","			CurrentDeferredTaxesAssets","		AssetsHeldForSaleCurrent","		OtherCurrentAssets","	TotalNonCurrentAssets","		NetPPE","			GrossPPE","				Properties","				LandAndImprovements","				BuildingsAndImprovements","				MachineryFurnitureEquipment","				OtherProperties","				ConstructionInProgress","				Leases","			AccumulatedDepreciation","		GoodwillAndOtherIntangibleAssets","			Goodwill","			OtherIntangibleAssets","		InvestmentsAndAdvances","			LongTermEquityInvestment","			InvestmentinFinancialAssets","				AvailableForSaleSecurities","		NonCurrentDeferredAssets","			NonCurrentDeferredTaxesAssets","		NonCurrentPrepaidAssets","		OtherNonCurrentAssets",TotalLiabilitiesNetMinorityInterest,"	CurrentLiabilities","		PayablesAndAccruedExpenses","			Payables","				AccountsPayable","				TotalTaxPayable","					IncomeTaxPayable","				OtherPayable","			CurrentAccruedExpenses","		PensionandOtherPostRetirementBenefitPlansCurrent","		CurrentDebtAndCapitalLeaseObligation","			CurrentDebt","				CurrentNotesPayable","				CommercialPaper","				OtherCurrentBorrowings","			CurrentCapitalLeaseObligation","		CurrentDeferredLiabilities","			CurrentDeferredRevenue","		OtherCurrentLiabilities","	TotalNonCurrentLiabilitiesNetMinorityInterest","		LongTermDebtAndCapitalLeaseObligation","			LongTermDebt","			LongTermCapitalLeaseObligation","		NonCurrentDeferredLiabilities","			NonCurrentDeferredTaxesLiabilities","			NonCurrentDeferredRevenue","		TradeandOtherPayablesNonCurrent","		DerivativeProductLiabilities","		PreferredSecuritiesOutsideStockEquity","		OtherNonCurrentLiabilities",TotalEquityGrossMinorityInterest,"	StockholdersEquity","		CapitalStock","			PreferredStock","			CommonStock","		AdditionalPaidInCapital","		RetainedEarnings","		GainsLossesNotAffectingRetainedEarnings","			UnrealizedGainLoss","			ForeignCurrencyTranslationAdjustments","			OtherEquityAdjustments","		OtherEquityInterest",TotalCapitalization,PreferredStockEquity,CommonStockEquity,CapitalLeaseObligations,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,ShareIssued,OrdinarySharesNumber,TreasurySharesNumber
12/31/2023,12/01/23,133.320007,0,"18,91,50,00,000","18,91,50,00,000","20,68,70,00,000","-47,10,00,000",,"-47,10,00,000","1,56,30,00,000","1,56,30,00,000","1,93,60,00,000",,,"-1,67,00,00,000","-1,67,00,00,000","5,65,90,00,000",,"3,41,80,00,000","-10,27,10,00,000","-6,51,80,00,000","-6,51,80,00,000",,,"5,54,10,00,000","42,70,00,000",,,"42,70,00,000","5,11,40,00,000","74,00,00,000",,"-10,03,40,00,000","-6,16,70,00,000","-6,16,70,00,000","-11,01,90,00,000","-11,01,90,00,000",,,,"-2,90,00,000","-2,90,00,000",,"4,94,70,00,000","-29,28,70,00,000","34,23,40,00,000","-6,60,00,000","-19,30,80,00,000","-19,30,80,00,000","-43,70,00,000","-43,70,00,000","1,49,20,00,000","-1,92,90,00,000",,,,"-16,19,10,00,000",,"-16,19,10,00,000","-2,68,00,00,000",0,"24,04,80,00,000","-6,56,00,00,000","-9,40,00,000","30,70,20,00,000",,,,"-11,01,90,00,000",,"1,49,20,00,000","-1,92,90,00,000","-16,19,10,00,000","7,89,60,00,000",12/31/2023,"86,31,00,00,000","86,31,00,00,000","37,57,50,00,000","48,73,50,00,000","25,03,80,00,000","12,92,50,00,000","5,20,60,00,000","5,20,60,00,000","7,71,90,00,000","12,11,30,00,000",,"23,69,70,00,000","1,04,10,00,000","1,11,00,00,000","6,90,00,000","-32,60,00,000","2,20,00,000","-25,60,00,000",,,,"-9,20,00,000","24,41,20,00,000","3,72,50,00,000","20,68,70,00,000","20,68,70,00,000","20,68,70,00,000","20,68,70,00,000",,,,"20,68,70,00,000",1.66,1.64,"12,48,80,00,000","12,60,20,00,000","23,69,70,00,000","62,61,30,00,000","20,68,70,00,000","20,66,83,56,955.60","1,11,00,00,000","6,90,00,000","1,04,10,00,000","24,48,10,00,000","26,04,40,00,000","37,57,50,00,000","1,56,30,00,000","20,68,70,00,000","2,20,00,000","2,20,00,000","26,02,20,00,000",0.153,"33,56,955.60",12/31/2023,"17,55,45,90,40,000","16,64,57,00,40,000",26.761,20.964,1.316,6.019,6.371,19.286,63.914,12/31/2023,"4,02,39,20,00,000","1,71,53,00,00,000","1,10,91,60,00,000","24,04,80,00,000",,,"86,86,80,00,000","47,96,40,00,000","47,96,40,00,000","48,73,50,00,000","-77,10,00,000",,,,,,,,,,,"12,65,00,00,000","2,30,86,20,00,000","1,48,43,60,00,000","2,15,89,40,00,000",0,"74,08,30,00,000",,"47,20,00,000","94,68,50,00,000","35,22,90,00,000","11,42,50,00,000","-67,45,80,00,000","29,19,80,00,000","29,19,80,00,000",,"31,00,80,00,000",,"31,00,80,00,000","31,00,80,00,000","12,16,90,00,000","12,16,90,00,000",,"10,05,10,00,000","1,19,01,30,00,000","81,81,40,00,000","50,22,10,00,000","10,24,10,00,000","7,49,30,00,000","2,74,80,00,000","2,74,80,00,000",,"39,98,00,00,000","15,14,00,00,000","2,79,10,00,000",,,,,"2,79,10,00,000","4,13,70,00,000","4,13,70,00,000","9,52,50,00,000","37,19,90,00,000","25,71,30,00,000","11,87,00,00,000","13,84,30,00,000","1,39,60,00,000","48,50,00,000","91,10,00,000","8,47,40,00,000",,,"1,61,60,00,000","2,83,37,90,00,000","2,83,37,90,00,000","76,53,40,00,000",0,"76,53,40,00,000",,"2,11,24,70,00,000","-4,40,20,00,000",,,"-4,40,20,00,000",,"2,95,24,90,00,000",,"2,83,37,90,00,000","16,63,40,00,000","2,54,18,10,00,000","89,71,60,00,000","2,95,24,90,00,000","2,54,18,10,00,000","28,50,40,00,000","12,46,00,00,000","12,46,00,00,000",0
9/30/2023,09/01/23,138.429993,0,"30,65,60,00,000","30,65,60,00,000","19,68,90,00,000","86,90,00,000",,"86,90,00,000","3,80,00,00,000","3,80,00,00,000","3,67,10,00,000","12,90,00,000","12,90,00,000","-1,82,40,00,000","-1,82,40,00,000","5,74,30,00,000",,"26,20,00,000","2,11,70,00,000","-2,82,10,00,000","-2,82,10,00,000",,,"3,98,30,00,000","22,30,00,000",,,"22,30,00,000","3,76,00,00,000","-1,62,40,00,000",,"2,57,90,00,000","-7,15,00,00,000","-7,15,00,00,000","-8,05,50,00,000","-8,05,50,00,000",,,,"-12,60,00,000","-12,60,00,000",,"1,65,90,00,000","-14,49,60,00,000","16,15,50,00,000","-62,80,00,000","-18,38,20,00,000","-18,38,20,00,000","-16,60,00,000","-16,60,00,000","1,24,80,00,000","-1,41,40,00,000",,,,"-15,78,70,00,000",,"-15,78,70,00,000","-2,43,20,00,000","30,00,000","30,70,20,00,000","5,12,40,00,000","-35,10,00,000","25,92,90,00,000",,,,"-8,05,50,00,000",,"1,24,80,00,000","-1,41,40,00,000","-15,78,70,00,000","22,60,10,00,000",9/30/2023,"76,69,30,00,000","76,69,30,00,000","33,22,90,00,000","43,46,40,00,000","22,12,10,00,000","10,86,30,00,000","3,97,90,00,000","3,97,90,00,000","6,88,40,00,000","11,25,80,00,000",,"21,34,30,00,000","95,00,00,000","1,06,60,00,000","11,60,00,000","-1,09,60,00,000","-1,18,00,00,000","-21,50,00,000",,,,"29,90,00,000","21,19,70,00,000","1,50,80,00,000","19,68,90,00,000","19,68,90,00,000","19,68,90,00,000","19,68,90,00,000",,,,"19,68,90,00,000",1.56,1.55,"12,58,10,00,000","12,69,60,00,000","21,34,30,00,000","55,35,00,00,000","19,68,90,00,000","20,78,52,20,000","1,06,60,00,000","11,60,00,000","95,00,00,000","21,31,30,00,000","25,11,30,00,000","33,22,90,00,000","3,80,00,00,000","19,68,90,00,000","-1,18,00,00,000","-1,18,00,00,000","26,29,30,00,000",0.071,"-8,37,80,000",9/30/2023,"16,55,75,67,30,000","15,66,53,87,30,000",27.666,19.57,1.242,5.832,6.143,20.426,62.38,9/30/2023,"3,96,71,10,00,000","1,76,31,00,00,000","1,19,93,50,00,000","30,70,20,00,000","9,29,40,00,000","21,40,80,00,000","89,23,30,00,000","41,02,00,00,000","41,02,00,00,000","41,85,20,00,000","-83,20,00,000",,,"2,95,70,00,000",,,,,,,,"12,39,80,00,000","2,20,40,10,00,000","1,39,90,40,00,000","2,04,65,40,00,000",0,"71,35,70,00,000",,"42,40,00,000","89,12,70,00,000","32,30,50,00,000","11,44,10,00,000","-64,75,00,00,000","30,97,90,00,000","29,14,60,00,000","1,83,30,00,000","30,90,70,00,000",,"30,90,70,00,000","30,90,70,00,000","10,98,30,00,000","10,98,30,00,000",,"7,62,80,00,000","1,23,50,90,00,000","86,29,50,00,000","57,57,20,00,000","19,33,10,00,000","5,80,30,00,000","13,52,80,00,000","13,52,80,00,000",,"38,24,10,00,000","12,56,20,00,000","2,71,50,00,000",,,,,"2,71,50,00,000","4,30,30,00,000","4,30,30,00,000","9,14,30,00,000","37,21,40,00,000","26,33,10,00,000","11,86,70,00,000","14,46,40,00,000","1,41,20,00,000","52,80,00,000","88,40,00,000","8,03,80,00,000",,,"1,43,30,00,000","2,73,20,20,00,000","2,73,20,20,00,000","74,59,10,00,000",0,"74,59,10,00,000",,"2,05,64,70,00,000","-7,03,60,00,000",,,"-7,03,60,00,000",,"2,85,06,90,00,000",,"2,73,20,20,00,000","17,17,90,00,000","2,42,22,30,00,000","90,01,50,00,000","2,85,06,90,00,000","2,42,22,30,00,000","29,04,60,00,000","12,54,10,00,000","12,54,10,00,000",
6/30/2023,06/01/23,123.5,0,"28,66,60,00,000","28,66,60,00,000","18,36,80,00,000","50,90,00,000",,"50,90,00,000","3,39,70,00,000","3,39,70,00,000","3,27,90,00,000","11,80,00,000","11,80,00,000","-2,41,50,00,000","-2,41,50,00,000","5,77,40,00,000",,"9,70,00,000","2,93,60,00,000","-2,94,80,00,000","-2,94,80,00,000",,,"1,76,20,00,000","1,11,90,00,000",,,"1,11,90,00,000","64,30,00,000","-51,30,00,000",,"4,63,50,00,000","-10,80,00,00,000","-10,80,00,00,000","-6,88,80,00,000","-6,88,80,00,000",,,,"-29,80,00,000","-29,80,00,000",,"-3,38,20,00,000","-22,24,90,00,000","18,86,70,00,000","-23,20,00,000","-17,83,50,00,000","-17,83,50,00,000","-13,20,00,000","-13,20,00,000","1,12,30,00,000","-1,25,50,00,000",,,,"-14,96,90,00,000",,"-14,96,90,00,000","-2,73,60,00,000","20,00,000","25,92,90,00,000","3,10,00,000","-2,60,00,000","25,92,40,00,000",,,,"-6,88,80,00,000",,"1,12,30,00,000","-1,25,50,00,000","-14,96,90,00,000","21,77,80,00,000",6/30/2023,"74,60,40,00,000","74,60,40,00,000","31,91,60,00,000","42,68,80,00,000","20,85,00,00,000","10,26,20,00,000","3,48,10,00,000","3,48,10,00,000","6,78,10,00,000","10,58,80,00,000",,"21,83,80,00,000","84,90,00,000","89,20,00,000","4,30,00,000","-78,40,00,000","-77,70,00,000","-10,60,00,000",,,,"9,90,00,000","21,90,30,00,000","3,53,50,00,000","18,36,80,00,000","18,36,80,00,000","18,36,80,00,000","18,36,80,00,000",,,,"18,36,80,00,000",1.45,1.44,"12,66,80,00,000","12,76,40,00,000","21,83,80,00,000","52,76,60,00,000","18,36,80,00,000","19,01,99,03,000","89,20,00,000","4,30,00,000","84,90,00,000","21,94,60,00,000","25,34,30,00,000","31,91,60,00,000","3,39,70,00,000","18,36,80,00,000","-77,70,00,000","-77,70,00,000","26,12,00,00,000",0.161,"-12,50,97,000",6/30/2023,"15,19,08,14,30,000","14,33,10,04,30,000",26.6,22.321,1.483,5.479,5.794,19.209,56.548,6/30/2023,"3,83,04,40,00,000","1,68,78,80,00,000","1,18,33,20,00,000","25,92,90,00,000","8,56,10,00,000","17,36,80,00,000","92,40,30,00,000","38,80,40,00,000","38,80,40,00,000","39,64,00,00,000","-83,60,00,000",,,"2,23,10,00,000",,,,,,,,"9,42,10,00,000","2,14,25,60,00,000","1,35,67,70,00,000","1,98,59,40,00,000",0,"68,89,00,00,000",,"33,80,00,000","86,06,10,00,000","32,01,90,00,000","11,28,60,00,000","-62,91,70,00,000","31,17,60,00,000","29,21,00,00,000","1,96,60,00,000","31,22,40,00,000",,"31,22,40,00,000","31,22,40,00,000","9,35,70,00,000","9,35,70,00,000",,"6,82,20,00,000","1,15,90,30,00,000","77,70,90,00,000","50,49,40,00,000","16,18,30,00,000","5,31,30,00,000","10,87,00,00,000","10,87,00,00,000",,"34,31,10,00,000","11,26,00,00,000","2,66,30,00,000",,,,,"2,66,30,00,000","3,84,60,00,000","3,84,60,00,000","9,44,60,00,000","38,19,40,00,000","26,45,10,00,000","11,86,40,00,000","14,58,70,00,000","1,22,50,00,000","55,80,00,000","66,70,00,000","8,75,30,00,000",,,"1,76,50,00,000","2,67,14,10,00,000","2,67,14,10,00,000","72,24,80,00,000",0,"72,24,80,00,000",,"2,00,88,40,00,000","-5,99,10,00,000",,,"-5,99,10,00,000",,"2,79,00,50,00,000",,"2,67,14,10,00,000","17,25,00,00,000","2,35,96,50,00,000","91,07,90,00,000","2,79,00,50,00,000","2,35,96,50,00,000","29,11,40,00,000","12,62,90,00,000","12,62,90,00,000",
3/31/2023,03/01/23,90.160004,0,"23,50,90,00,000","23,50,90,00,000","15,05,10,00,000","-8,40,00,000",,"-8,40,00,000","3,18,60,00,000","3,18,60,00,000","3,06,00,00,000","12,60,00,000","12,60,00,000","-1,85,40,00,000","-1,85,40,00,000","5,28,40,00,000",,"55,30,00,000","1,37,30,00,000","4,45,40,00,000","4,45,40,00,000",,,"-6,20,30,00,000","-1,10,50,00,000",,,"-1,10,50,00,000","-5,09,80,00,000","-74,60,00,000",,"3,86,80,00,000","-2,94,60,00,000","-2,94,60,00,000","-6,28,90,00,000","-6,28,90,00,000",,,,"-4,20,00,000","-4,20,00,000",,"3,51,00,00,000","-14,85,30,00,000","18,36,30,00,000","-12,50,00,000","-16,56,80,00,000","-16,56,80,00,000","-2,50,00,000","-2,50,00,000","6,92,70,00,000","-6,95,20,00,000",,,,"-14,55,70,00,000",,"-14,55,70,00,000","-1,98,90,00,000","30,00,000","25,92,40,00,000","3,99,50,00,000","5,00,00,000","21,87,90,00,000",,,,"-6,28,90,00,000",,"6,92,70,00,000","-6,95,20,00,000","-14,55,70,00,000","17,22,00,00,000",3/31/2023,"69,78,70,00,000","69,78,70,00,000","30,61,20,00,000","39,17,50,00,000","21,76,00,00,000","10,29,20,00,000","3,75,90,00,000","3,75,90,00,000","6,53,30,00,000","11,46,80,00,000",,"17,41,50,00,000","71,70,00,000","79,70,00,000","8,00,00,000","7,30,00,000","-12,60,00,000","-5,10,00,000",,,,"25,00,00,000","18,20,50,00,000","3,15,40,00,000","15,05,10,00,000","15,05,10,00,000","15,05,10,00,000","15,05,10,00,000",,,,"15,05,10,00,000",1.18,1.17,"12,78,10,00,000","12,82,30,00,000","17,41,50,00,000","52,37,20,00,000","15,05,10,00,000","15,15,52,02,000","79,70,00,000","8,00,00,000","71,70,00,000","18,28,50,00,000","21,47,10,00,000","30,61,20,00,000","3,18,60,00,000","15,05,10,00,000","-12,60,00,000","-12,60,00,000","21,59,70,00,000",0.173,"-2,17,98,000",3/31/2023,"13,21,24,49,80,000","12,37,16,19,80,000",22.748,19.194,1.256,4.826,5.152,17.728,57.62,3/31/2023,"3,69,49,10,00,000","1,61,98,50,00,000","1,15,10,20,00,000","25,92,40,00,000","9,69,10,00,000","16,23,30,00,000","89,17,80,00,000","36,03,60,00,000","36,03,60,00,000","36,77,90,00,000","-74,30,00,000",,,"2,31,50,00,000",,,,,,,,"8,53,20,00,000","2,07,50,60,00,000","1,32,00,70,00,000","1,92,88,20,00,000",0,"67,94,80,00,000",,"32,60,00,000","83,02,40,00,000","30,57,30,00,000","11,01,10,00,000","-60,87,50,00,000","30,96,20,00,000","28,99,40,00,000","1,96,80,00,000","31,21,30,00,000",,"31,21,30,00,000","31,21,30,00,000","6,88,50,00,000","6,88,50,00,000",,"6,43,90,00,000","1,08,59,70,00,000","68,85,40,00,000","43,20,60,00,000","9,40,10,00,000","4,18,40,00,000","5,21,70,00,000","5,21,70,00,000",,"33,80,50,00,000","9,95,40,00,000","2,62,50,00,000",,,,,"2,62,50,00,000","3,71,50,00,000","3,71,50,00,000","9,35,40,00,000","39,74,30,00,000","26,49,60,00,000","11,86,10,00,000","14,63,50,00,000","1,15,20,00,000","54,20,00,000","61,00,00,000","9,72,20,00,000",,,"2,37,30,00,000","2,60,89,40,00,000","2,60,89,40,00,000","70,26,90,00,000",0,"70,26,90,00,000",,"1,96,62,50,00,000","-6,00,00,00,000",,,"-6,00,00,00,000",,"2,72,75,50,00,000",,"2,60,89,40,00,000","17,26,00,00,000","2,29,93,20,00,000","93,13,10,00,000","2,72,75,50,00,000","2,29,93,20,00,000","29,12,10,00,000","12,72,20,00,000","12,72,20,00,000",
12/31/2022,12/01/22,101.400002,0,"23,61,40,00,000","23,61,40,00,000","13,62,40,00,000","1,66,30,00,000",,"1,66,30,00,000","4,20,10,00,000","4,20,10,00,000","4,06,50,00,000","13,60,00,000","13,60,00,000","-1,92,40,00,000","-1,92,40,00,000","5,10,00,00,000",,"66,10,00,000","28,90,00,000","-4,61,50,00,000","-4,61,50,00,000",,,"3,97,30,00,000","-2,80,00,000",,,"-2,80,00,000","4,00,10,00,000","-77,80,00,000",,"1,70,90,00,000","-6,22,70,00,000","-6,22,70,00,000","-7,59,50,00,000","-7,59,50,00,000",,,,"-8,40,00,000","-8,40,00,000",,"1,23,00,00,000","-12,52,40,00,000","13,75,40,00,000","22,20,00,000","-17,62,90,00,000","-17,62,90,00,000","-16,80,00,000","-16,80,00,000","8,55,00,00,000","-8,71,80,00,000",,,,"-15,40,70,00,000",,"-15,40,70,00,000","-2,07,90,00,000","2,50,00,000","21,87,90,00,000","-24,20,00,000","13,70,00,000","21,98,40,00,000",,,,"-7,59,50,00,000",,"8,55,00,00,000","-8,71,80,00,000","-15,40,70,00,000","16,01,90,00,000",12/31/2022,"76,04,80,00,000","76,04,80,00,000","35,34,20,00,000","40,70,60,00,000","22,54,60,00,000","12,27,90,00,000","5,09,60,00,000","5,09,60,00,000","7,18,30,00,000","10,26,70,00,000",,"18,16,00,00,000","56,90,00,000","65,90,00,000","9,00,00,000","-1,58,20,00,000","-1,84,80,00,000","-3,10,00,000",,,,"29,70,00,000","17,14,70,00,000","3,52,30,00,000","13,62,40,00,000","13,62,40,00,000","13,62,40,00,000","13,62,40,00,000",,,,"13,62,40,00,000",1.06,1.05,"12,89,70,00,000","12,94,70,00,000","18,16,00,00,000","57,88,80,00,000","13,62,40,00,000","15,09,23,12,357.85","65,90,00,000","9,00,00,000","56,90,00,000","17,23,70,00,000","21,43,80,00,000","35,34,20,00,000","4,20,10,00,000","13,62,40,00,000","-1,84,80,00,000","-1,84,80,00,000","23,28,60,00,000",0.205,"-37,96,87,642.15",12/31/2022,"11,45,00,38,90,000","10,57,66,68,90,000",17.541,16.502,1.244,4.155,4.47,13.908,55.711,12/31/2022,"3,65,26,40,00,000","1,64,79,50,00,000","1,13,76,20,00,000","21,87,90,00,000",,,"91,88,30,00,000","40,25,80,00,000","40,25,80,00,000","41,01,20,00,000","-75,40,00,000",,,"2,67,00,00,000",,,,,,,,"10,77,50,00,000","2,00,46,90,00,000","1,27,04,90,00,000","1,86,09,10,00,000",0,"66,89,70,00,000",,"31,40,00,000","80,64,80,00,000","27,65,70,00,000","10,57,50,00,000","-59,04,20,00,000","28,96,00,00,000","28,96,00,00,000","2,08,40,00,000","30,49,20,00,000",,"30,49,20,00,000","30,49,20,00,000","5,26,10,00,000","5,26,10,00,000",,"8,70,70,00,000","1,09,12,00,00,000","69,30,00,00,000","39,78,10,00,000","6,76,00,00,000","5,12,80,00,000","1,63,20,00,000","1,63,20,00,000",,"33,02,10,00,000","14,02,80,00,000","2,47,70,00,000",,,,,"2,47,70,00,000","3,90,80,00,000","3,90,80,00,000","9,10,60,00,000","39,82,00,00,000","27,20,20,00,000","12,85,70,00,000","14,34,50,00,000","1,11,30,00,000","51,40,00,000","59,90,00,000","9,25,80,00,000",,,"2,24,70,00,000","2,56,14,40,00,000","2,56,14,40,00,000","68,18,40,00,000",0,"68,18,40,00,000",,"1,95,56,30,00,000","-7,60,30,00,000",,,"-7,60,30,00,000",,"2,69,00,10,00,000",,"2,56,14,40,00,000","16,82,20,00,000","2,27,18,40,00,000","95,49,50,00,000","2,69,00,10,00,000","2,27,18,40,00,000","29,67,90,00,000","12,84,90,00,000","12,84,90,00,000",
