name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
MarketCap,"1,952,894,620,000","1,755,459,040,000","1,655,756,730,000","1,519,081,430,000","1,321,244,980,000","1,145,003,890,000","1,243,730,650,000","1,427,553,328,500","1,835,900,727,490","1,917,098,341,290","1,774,424,750,440","1,650,946,771,260","1,386,127,559,090","1,183,171,312,840","994,596,966,400","964,510,898,270","795,031,530,880","921,138,319,230","842,955,136,480","751,068,984,851","816,907,454,560","723,558,708,460","834,976,811,824","779,552,704,564","719,414,645,393","729,458,189,676","669,590,226,398","636,867,974,280","580,433,607,840","539,067,897,721","544,870,078,440","479,246,481,810","517,784,506,950","528,168,435,200","428,655,184,860","363,461,833,080","376,199,382,578","359,503,564,697","395,352,513,496","392,018,013,768","532,677,223,674","376,366,922,148","292,688,116,081","293,291,173,566","262,886,553,615","233,427,144,597","247,892,483,857","189,660,214,380","208,983,963,156","209,849,680,199","166,747,805,151","163,392,621,674","189,011,238,438","190,843,154,713","167,850,044,668","141,766,854,198","180,499,550,713","197,012,284,464","157,152,219,541","133,401,193,994","109,741,127,652","96,834,102,858","126,065,317,331","165,530,894,406","138,348,474,554","216,322,938,560","177,465,021,919","163,365,309,449","142,468,149,832","142,200,806,310","122,322,528,754","127,092,822,164","115,922,517,743","122,611,098,453","88,369,630,923","81,708,054,543","50,064,308,961","52,711,860,998","19,767,451,530"
EnterpriseValue,"1,870,482,620,000","1,664,570,040,000","1,566,538,730,000","1,433,100,430,000","1,237,161,980,000","1,057,666,890,000","1,147,461,650,000","1,322,004,328,500","1,724,646,727,490","1,802,955,341,290","1,666,545,750,440","1,542,999,771,260","1,276,205,559,090","1,076,996,312,840","889,659,966,400","864,085,898,270","691,323,530,880","813,709,319,230","735,061,136,480","649,852,984,851","711,779,454,560","621,128,708,460","736,703,811,824","681,969,704,564","621,512,645,393","633,279,189,676","578,832,226,398","548,365,974,280","498,035,607,840","459,949,897,721","470,613,078,440","409,190,481,810","451,078,506,950","460,632,435,200","364,108,184,860","303,260,833,080","318,803,382,578","304,684,564,697","342,278,513,496","340,985,013,768","480,475,223,674","326,874,922,148","245,297,116,081","249,869,173,566","220,286,553,615","190,827,144,597","212,375,483,857","147,499,214,380","169,861,963,156","173,393,680,199","130,291,805,151","129,392,621,674","156,852,238,438","160,933,154,713","138,570,044,668","114,607,854,198","153,985,550,713","172,527,509,464","135,157,828,541","114,057,187,994","91,956,194,652","80,988,331,858","111,652,708,331","152,797,225,406","126,213,966,554","202,104,325,560","169,834,884,919","155,735,172,449","134,838,012,832","134,570,669,310","114,692,391,754","119,462,685,164","108,292,380,743","114,980,961,453","80,739,493,923","78,760,378,543","47,558,320,961","50,581,465,998","17,912,184,530"
PeRatio,"26.953","26.761","27.666","26.6","22.748","17.541","17.812","19.716","24.789","27.921","29.013","32.544","35.191","33.894","32.246","28.63","23.636","28.755","24.66","27.158","26.931","39.21","52.142","47.847","57.619","35.243","35.305","31.451","30.442","28.996","31.141","29.61","33.402","36.019","31.744","26.812","27.366","28.236","30.814","32.277","30.945","32.226","26.919","26.243","24.491","21.814","22.384","17.596","21.568","22.028","17.565","18.279","22.8","22.598","21.368","19.339","25.827","30.406","32.063","29.265","25.468","23.137","25.23","34.644","30.984","52.081","48.202","46.901","46.137","59.15","58.987","61.545","68.729","104.303","79.563","84.401","71.08","132.071","103.648"
ForwardPeRatio,"22.936","20.964","19.57","22.321","19.194","16.502","15.848","19.157","24.213","25.707","25.445","30.303","30.303","30.581","26.316","34.014","21.368","24.57","21.142","23.419","24.938","22.026","25.126","25.707","25.189","25.575","23.529","23.365","20.619","19.455","19.841","20.921","22.472","23.095","19.194","16.695","17.153","17.889","19.418","19.342","18.315","22.371","17.921","17.212","15.674","16.155","16.584","12.166","12.626","14.684","12.24","12.707","14.684","17.575",,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"1.626","1.316","1.242","1.483","1.256","1.244","1.182","0.772","0.97","0.834","0.745","1.421","1.465","1.539","1.672","2.898","1.307","1.865","1.566","1.749","1.776","1.07","1.214","0.927","0.944","1.307","1.25","1.274","1.256","1.179","1.279","1.821","1.722","2.161","1.553","1.364","1.657","1.43","1.294","1.466","1.217","1.488","1.355","1.245","1.215","1.102","1.2","0.788","0.721","0.723","0.637","0.685","0.778","0.923",,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"6.47","6.019","5.832","5.479","4.826","4.155","4.606","5.434","7.316","8.239","8.286","8.498","7.763","7.044","6.119","5.925","5.015","6.046","5.776","5.354","6.05","5.667","6.862","6.783","6.583","7.074","6.876","6.861","6.562","6.466","6.853","6.273","7.05","7.489","6.321","5.478","5.774","5.357","6.169","6.388","6.318","6.594","5.277","5.501","5.265","4.69","5.763","4.767","5.541","5.9","4.705","4.944","6.118","6.555","6.158","5.467","7.308","8.381","6.962","6.017","5.001","4.486","6.089","8.53","7.711","13.189","13.26","13.617","13.389","15.326","14.8","15.442","16.207","23.35","17.812","18.341","13.195","16.528","8.755"
PbRatio,"6.859","6.371","6.143","5.794","5.152","4.47","4.857","5.61","7.281","7.843","7.48","7.088","6.22","5.558","4.791","4.743","3.945","4.729","4.39","4.096","4.603","4.279","5.186","4.886","4.726","4.659","4.562","4.444","4.22","4.085","4.333","3.91","4.354","4.6","3.927","3.413","3.627","3.658","4.174","4.315","6.11","4.535","3.712","3.886","3.666","3.255","3.83","3.073","3.594","3.827","3.041","3.143","3.869","4.127","3.877","3.491","4.715","5.472","4.66","4.222","3.677","3.429","4.588","6.388","5.685","9.534","9.027","8.89","8.361","9.877","9.158","9.515","11.317","13.944","10.05","20.665","14.609","17.996","7.635"
EnterprisesValueRevenueRatio,"6.085","19.286","20.426","19.209","17.728","13.908","16.608","18.971","25.358","23.936","25.593","24.935","23.072","18.929","19.268","22.563","16.796","17.661","18.15","16.687","19.587","15.814","21.835","20.883","19.955","19.592","20.842","21.083","20.123","17.647","20.962","19.032","22.268","21.597","19.497","17.107","18.473","16.831","20.715","21.372","31.159","20.811","17.835","19.064","17.009","18.558","15.963","12.493","15.957","16.384","13.405","14.336","18.292","19.068","19.019","16.805","22.728","25.851","22.735","20.651","16.692","14.205","20.149","28.469","24.337","41.872","40.137","40.221","36.801","41.981","42.641","48.641","48.049","59.914","51.151","56.887","37.849","49.037","22.227"
EnterprisesValueEBITDARatio,"19.092","63.914","62.38","56.548","57.62","55.711","56.303","57.488","75.646","64.488","63.019","61.705","52.928","47.937","52.689","74.005","63.506","57.571","63.526","43.303","65.942","48.981","59.097","107.295","49.487","62.825","59.264","91.045","59.666","53.626","61.358","53.552","69.078","69.477","59.061","48.787","54.9","52.36","63.046","61.896","86.076","58.381","51.447","52.604","45.874","34.052","58.121","35.27","41.674","43.219","33.641","36.418","56.079","45.616","45.344","42.338","54.624","59.186","55.099","50.67","40.208","36.06","54.898","77.579","67.038","116.778","108.364","117.272","86.586","147.437","96.8","108.349","117.481","156.48","128.911","145.146","95.314","138.139","341.588"
