Date,Date,Open,y_label,OperatingCashFlow,"	CashFlowFromContinuingOperatingActivities","		NetIncomeFromContinuingOperations","		OperatingGainsLosses","			GainLossOnSaleOfPPE","			GainLossOnInvestmentSecurities","		DepreciationAmortizationDepletion","			DepreciationAndAmortization","				Depreciation","				AmortizationCashFlow","					AmortizationOfIntangibles","		DeferredTax","			DeferredIncomeTax","		AssetImpairmentCharge","		StockBasedCompensation","		ExcessTaxBenefitFromStockBasedCompensation","		OtherNonCashItems","		ChangeInWorkingCapital","			ChangeInReceivables","				ChangesInAccountReceivables","			ChangeInInventory","			ChangeInPrepaidAssets","			ChangeInPayablesAndAccruedExpense","				ChangeInPayable","					ChangeInAccountPayable","				ChangeInAccruedExpense","			ChangeInOtherCurrentAssets","			ChangeInOtherCurrentLiabilities","			ChangeInOtherWorkingCapital",InvestingCashFlow,"	CashFlowFromContinuingInvestingActivities","		CapitalExpenditureReported","		NetPPEPurchaseAndSale","			PurchaseOfPPE","			SaleOfPPE","		NetBusinessPurchaseAndSale","			PurchaseOfBusiness","			SaleOfBusiness","		NetInvestmentPurchaseAndSale","			PurchaseOfInvestment","			SaleOfInvestment","		NetOtherInvestingChanges",FinancingCashFlow,"	CashFlowFromContinuingFinancingActivities","		NetIssuancePaymentsOfDebt","			NetLongTermDebtIssuance","				LongTermDebtIssuance","				LongTermDebtPayments","		NetCommonStockIssuance","			CommonStockIssuance","			CommonStockPayments","		CashDividendsPaid","			CommonStockDividendPaid","		ProceedsFromStockOptionExercised","		NetOtherFinancingCharges",EndCashPosition,"	ChangesInCash","	BeginningCashPosition","	OtherCashAdjustmentOutsideChangeinCash",IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow,Date,TotalRevenue,"	OperatingRevenue",CostOfRevenue,GrossProfit,OperatingExpense,"	SellingGeneralAndAdministration","	ResearchAndDevelopment","	DepreciationAmortizationDepletionIncomeStatement","		DepreciationAndAmortizationInIncomeStatement","			DepreciationIncomeStatement","			Amortization","				AmortizationOfIntangiblesIncomeStatement","	OtherOperatingExpenses",OperatingIncome,NetNonOperatingInterestIncomeExpense,"	InterestIncomeNonOperating","	InterestExpenseNonOperating",OtherIncomeExpense,"	SpecialIncomeCharges","		RestructuringAndMergernAcquisition","		OtherSpecialCharges","	OtherNonOperatingIncomeExpenses",PretaxIncome,TaxProvision,NetIncomeCommonStockholders,"	NetIncome","		NetIncomeIncludingNoncontrollingInterests","			NetIncomeContinuousOperations","			NetIncomeExtraordinary",DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,Date,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,Date,TotalAssets,"	CurrentAssets","		CashCashEquivalentsAndShortTermInvestments","			CashAndCashEquivalents","			OtherShortTermInvestments","		Receivables","			AccountsReceivable","				GrossAccountsReceivable","				AllowanceForDoubtfulAccountsReceivable","		Inventory","			RawMaterials","			WorkInProcess","			FinishedGoods","		PrepaidAssets","		RestrictedCash","		CurrentDeferredAssets","			CurrentDeferredTaxesAssets","		AssetsHeldForSaleCurrent","		OtherCurrentAssets","	TotalNonCurrentAssets","		NetPPE","			GrossPPE","				Properties","				LandAndImprovements","				BuildingsAndImprovements","				MachineryFurnitureEquipment","				OtherProperties","				ConstructionInProgress","				Leases","			AccumulatedDepreciation","		GoodwillAndOtherIntangibleAssets","			Goodwill","			OtherIntangibleAssets","		InvestmentsAndAdvances","			OtherInvestments","		NonCurrentDeferredAssets","			NonCurrentDeferredTaxesAssets","		NonCurrentPrepaidAssets","		OtherNonCurrentAssets",TotalLiabilitiesNetMinorityInterest,"	CurrentLiabilities","		PayablesAndAccruedExpenses","			Payables","				AccountsPayable","				TotalTaxPayable","					IncomeTaxPayable","				OtherPayable","			CurrentAccruedExpenses","				InterestPayable","		CurrentProvisions","		CurrentDebtAndCapitalLeaseObligation","			CurrentDebt","				CurrentNotesPayable","				OtherCurrentBorrowings","			CurrentCapitalLeaseObligation","		CurrentDeferredLiabilities","			CurrentDeferredRevenue","		OtherCurrentLiabilities","	TotalNonCurrentLiabilitiesNetMinorityInterest","		LongTermProvisions","		LongTermDebtAndCapitalLeaseObligation","			LongTermDebt","			LongTermCapitalLeaseObligation","		NonCurrentDeferredLiabilities","			NonCurrentDeferredTaxesLiabilities","			NonCurrentDeferredRevenue","		TradeandOtherPayablesNonCurrent","		EmployeeBenefits","		DerivativeProductLiabilities","		OtherNonCurrentLiabilities",TotalEquityGrossMinorityInterest,"	StockholdersEquity","		CapitalStock","			PreferredStock","			CommonStock","		AdditionalPaidInCapital","		RetainedEarnings","		TreasuryStock","		GainsLossesNotAffectingRetainedEarnings","			OtherEquityAdjustments","		OtherEquityInterest",TotalCapitalization,CommonStockEquity,CapitalLeaseObligations,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,NetDebt,ShareIssued,OrdinarySharesNumber,TreasurySharesNumber
1/31/2024,01/01/24,492.440002,0,"11,49,90,00,000","11,49,90,00,000","12,28,50,00,000","-26,20,00,000",,"-26,20,00,000","38,70,00,000","38,70,00,000",,,,"-7,80,00,000","-7,80,00,000",,"99,40,00,000",,"-10,80,00,000","-1,71,90,00,000","-1,69,00,00,000","-1,69,00,00,000","-50,30,00,000","-1,18,50,00,000","1,35,30,00,000","28,10,00,000","28,10,00,000","1,07,20,00,000",,"30,60,00,000",,"-6,10,90,00,000","-6,10,90,00,000",,"-25,40,00,000","-25,40,00,000",,0,0,,"-5,85,50,00,000","-7,63,60,00,000","1,78,10,00,000",,"-3,62,90,00,000","-3,62,90,00,000",0,0,,0,"-2,65,90,00,000",,"-2,65,90,00,000","-9,90,00,000",,0,"-87,10,00,000","7,28,00,00,000","1,76,10,00,000","5,51,90,00,000",,"1,87,30,00,000",,"-25,40,00,000",,,0,"-2,65,90,00,000","11,24,50,00,000",1/31/2024,"22,10,30,00,000","22,10,30,00,000","5,31,20,00,000","16,79,10,00,000","3,17,70,00,000","71,20,00,000","2,46,50,00,000",,,,,,,"13,61,40,00,000","23,10,00,000","29,40,00,000","6,30,00,000","26,10,00,000",0,0,,"26,10,00,000","14,10,60,00,000","1,82,10,00,000","12,28,50,00,000","12,28,50,00,000","12,28,50,00,000","12,28,50,00,000",,"12,28,50,00,000",,,,,"13,61,40,00,000","8,48,90,00,000","12,28,50,00,000","12,28,50,00,000","29,40,00,000","6,30,00,000","23,10,00,000","14,16,90,00,000","14,55,60,00,000","5,31,20,00,000","38,70,00,000","12,28,50,00,000",0,0,"14,55,60,00,000",0.129,0,1/31/2024,"15,16,02,52,80,000","15,08,77,12,80,000",81.17,30.395,0.603,34.14,45.574,68.261,103.653,1/31/2024,"65,72,80,00,000","44,34,50,00,000","25,98,40,00,000","7,28,00,00,000","18,70,40,00,000","9,99,90,00,000","9,99,90,00,000",,,"5,28,20,00,000","1,71,90,00,000","1,50,50,00,000","2,05,80,00,000",,,,,,"3,08,00,00,000","21,38,30,00,000","5,26,00,00,000","8,76,90,00,000",0,"21,80,00,000","1,81,60,00,000","5,20,00,00,000","1,34,60,00,000","18,90,00,000",,"-3,50,90,00,000","5,54,20,00,000","4,43,00,00,000","1,11,20,00,000","1,54,60,00,000","1,54,60,00,000","6,08,10,00,000","6,08,10,00,000","2,82,20,00,000","13,20,00,000","22,75,00,00,000","10,63,10,00,000","6,12,00,00,000","2,99,50,00,000","2,69,90,00,000","29,60,00,000",,,"3,12,50,00,000",,"41,50,00,000","1,47,80,00,000","1,25,00,00,000",,"1,25,00,00,000","22,80,00,000","76,40,00,000","76,40,00,000","1,85,40,00,000","12,11,90,00,000",,"9,57,80,00,000","8,45,90,00,000","1,11,90,00,000","1,03,50,00,000","46,20,00,000","57,30,00,000","1,44,10,00,000",,,"6,50,00,000","42,97,80,00,000","42,97,80,00,000","20,00,000",0,"20,00,000","13,13,20,00,000","29,81,70,00,000",,"2,70,00,000","2,70,00,000",,"51,43,70,00,000","42,97,80,00,000","1,34,70,00,000","37,43,60,00,000","33,71,40,00,000","52,68,70,00,000","37,43,60,00,000","11,05,60,00,000","2,42,90,00,000","2,46,40,00,000","2,46,40,00,000",
10/31/2023,10/01/23,440.299988,0,"7,33,20,00,000","7,33,20,00,000","9,24,30,00,000","6,90,00,000",,"6,90,00,000","37,20,00,000","37,20,00,000",,,,"-53,00,00,000","-53,00,00,000",,"97,90,00,000",,"-6,80,00,000","-2,73,30,00,000","-1,24,30,00,000","-1,24,30,00,000","-45,60,00,000","25,50,00,000","-1,26,10,00,000","46,10,00,000","46,10,00,000","-1,72,20,00,000",,"-2,80,00,000",,"-3,17,00,00,000","-3,17,00,00,000",,"-27,80,00,000","-27,80,00,000",,0,0,,"-2,89,20,00,000","-5,78,20,00,000","2,89,00,00,000",,"-4,52,50,00,000","-4,52,50,00,000",0,0,,0,"-3,80,70,00,000",,"-3,80,70,00,000","-9,70,00,000",,"15,60,00,000","-77,70,00,000","5,51,90,00,000","-36,30,00,000","5,88,20,00,000",,"4,34,80,00,000",,"-27,80,00,000",,,0,"-3,80,70,00,000","7,05,40,00,000",10/31/2023,"18,12,00,00,000","18,12,00,00,000","4,72,00,00,000","13,40,00,00,000","2,98,30,00,000","68,90,00,000","2,29,40,00,000",,,,,,,"10,41,70,00,000","17,10,00,000","23,40,00,000","6,30,00,000","-6,60,00,000",0,0,,"-6,60,00,000","10,52,20,00,000","1,27,90,00,000","9,24,30,00,000","9,24,30,00,000","9,24,30,00,000","9,24,30,00,000",,"9,24,30,00,000",3.75,3.71,"2,46,80,00,000","2,49,40,00,000","10,41,70,00,000","7,70,30,00,000","9,24,30,00,000","9,24,30,00,000","23,40,00,000","6,30,00,000","17,10,00,000","10,58,50,00,000","10,95,70,00,000","4,72,00,00,000","37,20,00,000","9,24,30,00,000",0,0,"10,95,70,00,000",0.122,0,10/31/2023,"10,05,63,48,00,000","10,00,56,58,00,000",98.502,24.51,0.822,31.089,36.567,55.219,91.317,10/31/2023,"54,14,80,00,000","32,65,80,00,000","18,28,10,00,000","5,51,90,00,000","12,76,20,00,000","8,30,90,00,000","8,30,90,00,000",,,"4,77,90,00,000","1,66,30,00,000","1,33,80,00,000","1,77,80,00,000",,,,,,"1,28,90,00,000","21,49,00,00,000","5,16,00,00,000","5,16,00,00,000",,,,,"5,16,00,00,000",,,,"5,68,10,00,000","4,43,00,00,000","1,25,10,00,000","1,17,20,00,000","1,17,20,00,000","5,98,20,00,000","5,98,20,00,000","3,35,60,00,000","13,90,00,000","20,88,30,00,000","9,10,10,00,000","5,23,70,00,000","2,80,00,00,000","2,38,00,00,000","42,00,00,000",,,"2,43,70,00,000",,"29,90,00,000","1,47,90,00,000","1,24,90,00,000",,"1,24,90,00,000","23,00,00,000","51,30,00,000","51,30,00,000","1,57,30,00,000","11,78,20,00,000",,"9,54,80,00,000","8,45,70,00,000","1,09,10,00,000","84,90,00,000","42,40,00,000","42,50,00,000","1,31,90,00,000",,,"6,60,00,000","33,26,50,00,000","33,26,50,00,000","20,00,000",0,"20,00,000","12,99,10,00,000","20,36,00,00,000",,"-8,80,00,000","-8,80,00,000",,"41,72,20,00,000","33,26,50,00,000","1,32,10,00,000","27,58,40,00,000","23,55,70,00,000","42,97,10,00,000","27,58,40,00,000","11,02,70,00,000","4,18,70,00,000","2,46,60,00,000","2,46,60,00,000",0
7/31/2023,07/01/23,425.170013,0,"6,34,80,00,000","6,34,80,00,000","6,18,90,00,000","-5,90,00,000",,"-5,90,00,000","36,50,00,000","36,50,00,000",,,,"-74,60,00,000","-74,60,00,000",,"84,10,00,000",,"-6,80,00,000","-17,40,00,000","-2,98,70,00,000","-2,98,70,00,000","29,50,00,000","-37,70,00,000","2,76,40,00,000","77,80,00,000","77,80,00,000","1,98,60,00,000",,"13,10,00,000",,"-44,60,00,000","-44,60,00,000",,"-28,90,00,000","-28,90,00,000",,0,0,,"-15,70,00,000","-2,75,60,00,000","2,59,90,00,000",,"-5,09,90,00,000","-5,09,90,00,000",,,,,"-3,06,70,00,000",,"-3,06,70,00,000","-10,00,00,000",,"10,00,000","-68,30,00,000","5,88,20,00,000","80,30,00,000","5,07,90,00,000",,,,"-28,90,00,000",,,,"-3,06,70,00,000","6,05,90,00,000",7/31/2023,"13,50,70,00,000","13,50,70,00,000","4,04,50,00,000","9,46,20,00,000","2,66,20,00,000","62,20,00,000","2,04,00,00,000",,,,,,,"6,80,00,00,000","12,20,00,000","18,70,00,000","6,50,00,000","5,90,00,000",0,0,,"5,90,00,000","6,98,10,00,000","79,30,00,000","6,18,80,00,000","6,18,80,00,000","6,18,80,00,000","6,18,80,00,000",,"6,18,80,00,000",2.5,2.48,"2,47,30,00,000","2,49,90,00,000","6,80,00,00,000","6,70,70,00,000","6,18,80,00,000","6,18,80,00,000","18,70,00,000","6,50,00,000","12,20,00,000","7,04,60,00,000","7,41,10,00,000","4,04,50,00,000","36,50,00,000","6,18,80,00,000",0,0,"7,41,10,00,000",0.114,0,7/31/2023,"11,53,73,90,10,000","11,50,49,90,10,000",243.38,62.893,2.656,45.058,47.053,85.178,155.242,7/31/2023,"49,55,50,00,000","28,79,70,00,000","16,02,30,00,000","5,78,30,00,000","10,24,00,00,000","7,06,60,00,000","7,06,60,00,000",,,"4,31,90,00,000","1,63,20,00,000","1,05,80,00,000","1,62,90,00,000",,,,,,"1,38,90,00,000","20,75,80,00,000","5,03,40,00,000","5,03,40,00,000",,,,,"5,03,40,00,000",,,,"5,82,50,00,000","4,43,00,00,000","1,39,50,00,000","80,00,00,000","80,00,00,000","5,39,80,00,000","5,39,80,00,000","3,55,30,00,000","14,80,00,000","22,05,40,00,000","10,33,40,00,000","7,00,00,00,000","4,73,20,00,000","1,92,90,00,000","2,80,30,00,000",,,"2,26,80,00,000",,"16,80,00,000","1,45,70,00,000","1,24,90,00,000",,"1,24,90,00,000","20,80,00,000","42,10,00,000","42,10,00,000","1,28,80,00,000","11,72,00,00,000",,"9,49,70,00,000","8,45,60,00,000","1,04,10,00,000","68,10,00,000","37,30,00,000","30,80,00,000","1,47,70,00,000",,,"6,50,00,000","27,50,10,00,000","27,50,10,00,000","20,00,000",0,"20,00,000","12,62,90,00,000","14,92,10,00,000",,"-5,10,00,000","-5,10,00,000",,"35,95,70,00,000","27,50,10,00,000","1,24,90,00,000","21,67,60,00,000","18,46,30,00,000","37,20,60,00,000","21,67,60,00,000","10,95,40,00,000","3,92,20,00,000","2,46,90,00,000","2,46,90,00,000",
4/30/2023,04/01/23,275.089996,0,"2,91,10,00,000","2,91,10,00,000","2,04,30,00,000","1,40,00,000",,"1,40,00,000","38,40,00,000","38,40,00,000",,,,"-1,13,50,00,000","-1,13,50,00,000",,"73,50,00,000",,"-3,40,00,000","90,40,00,000","-25,20,00,000","-25,20,00,000","56,60,00,000","-21,50,00,000","70,00,00,000","1,10,00,000","1,10,00,000","68,90,00,000",,"10,50,00,000",,"-84,10,00,000","-84,10,00,000",,"-24,80,00,000","-24,80,00,000",,"-8,30,00,000","-8,30,00,000",,"-51,00,00,000","-3,02,20,00,000","2,51,20,00,000",,"-38,00,00,000","-38,00,00,000",,,,,0,,0,"-9,90,00,000","-9,90,00,000","24,60,00,000","-52,70,00,000","5,07,90,00,000","1,69,00,00,000","3,38,90,00,000",,,,"-24,80,00,000",,,,0,"2,66,30,00,000",4/30/2023,"7,19,20,00,000","7,19,20,00,000","2,54,40,00,000","4,64,80,00,000","2,50,80,00,000","63,30,00,000","1,87,50,00,000",,,,,,,"2,14,00,00,000","8,40,00,000","15,00,00,000","6,60,00,000","-1,50,00,000",0,0,,"-1,50,00,000","2,20,90,00,000","16,60,00,000","2,04,30,00,000","2,04,30,00,000","2,04,30,00,000","2,04,30,00,000",,"2,04,30,00,000",0.83,0.82,"2,47,00,00,000","2,49,00,00,000","2,14,00,00,000","5,05,20,00,000","2,04,30,00,000","2,04,30,00,000","15,00,00,000","6,60,00,000","8,40,00,000","2,27,50,00,000","2,65,90,00,000","2,54,40,00,000","38,40,00,000","2,04,30,00,000",0,0,"2,65,90,00,000",0.075,0,4/30/2023,"6,86,26,86,48,069","6,85,00,36,48,069",159.477,61.728,3.449,25.79,31.05,95.245,257.617,4/30/2023,"44,46,00,00,000","24,88,30,00,000","15,32,00,00,000","5,07,90,00,000","10,24,10,00,000","4,08,00,00,000","4,08,00,00,000",,,"4,61,10,00,000","1,80,90,00,000","93,00,00,000","1,87,20,00,000",,,,,,"87,20,00,000","19,57,70,00,000","4,83,40,00,000","4,83,40,00,000",,,,,"4,83,40,00,000",,,,"5,97,10,00,000","4,43,00,00,000","1,54,10,00,000","50,50,00,000","50,50,00,000","4,56,80,00,000","4,56,80,00,000","3,55,40,00,000","14,50,00,000","19,94,00,00,000","7,26,00,00,000","4,39,30,00,000","2,68,50,00,000","1,14,10,00,000","1,54,40,00,000",,,"1,70,80,00,000",,"11,20,00,000","1,43,70,00,000","1,25,00,00,000",,"1,25,00,00,000","18,70,00,000","36,70,00,000","36,70,00,000","95,10,00,000","12,68,00,00,000",,"10,64,30,00,000","9,70,40,00,000","93,90,00,000","52,00,00,000","29,00,00,000","23,00,00,000","1,45,50,00,000",,,"6,20,00,000","24,52,00,00,000","24,52,00,00,000","20,00,000",0,"20,00,000","12,45,30,00,000","12,11,50,00,000",,"-5,00,00,000","-5,00,00,000",,"34,22,40,00,000","24,52,00,00,000","1,12,60,00,000","18,54,90,00,000","17,62,30,00,000","35,47,40,00,000","18,54,90,00,000","12,08,00,00,000","5,87,50,00,000","2,47,30,00,000","2,47,30,00,000",
1/31/2023,01/01/23,148.509995,0,"2,24,80,00,000","2,24,80,00,000","1,41,40,00,000","1,00,00,000",,"1,00,00,000","42,60,00,000","42,60,00,000",,,,"-64,70,00,000","-64,70,00,000",,"73,80,00,000",,"2,00,00,000","28,70,00,000","1,08,00,00,000","1,08,00,00,000","-70,60,00,000","-21,00,00,000","-2,70,00,000","-19,30,00,000","-19,30,00,000","16,60,00,000",,"15,00,00,000",,"-30,00,000","-30,00,000",,"-50,90,00,000","-50,90,00,000",,0,0,,"50,60,00,000","-2,12,70,00,000","2,63,30,00,000",,"-1,65,60,00,000","-1,65,60,00,000",0,0,0,0,"-1,21,30,00,000",,"-1,21,30,00,000","-9,80,00,000","-9,80,00,000","60,00,000","-35,10,00,000","3,38,90,00,000","58,90,00,000","2,80,00,00,000",,"3,20,00,000",,"-50,90,00,000",,0,0,"-1,21,30,00,000","1,73,90,00,000",1/31/2023,"6,05,10,00,000","6,05,10,00,000","2,21,80,00,000","3,83,30,00,000","2,57,70,00,000","62,50,00,000","1,95,20,00,000",,,,,,,"1,25,60,00,000","5,10,00,000","11,50,00,000","6,40,00,000","-1,90,00,000",0,0,,"-1,90,00,000","1,28,80,00,000","-12,60,00,000","1,41,40,00,000","1,41,40,00,000","1,41,40,00,000","1,41,40,00,000",,"1,41,40,00,000",0.57,0.57,"2,46,40,00,000","2,47,70,00,000","1,25,60,00,000","4,79,50,00,000","1,41,40,00,000","1,41,40,00,000","11,50,00,000","6,40,00,000","5,10,00,000","1,35,20,00,000","1,77,80,00,000","2,21,80,00,000","42,60,00,000","1,41,40,00,000",0,0,"1,77,80,00,000",0.21,0,1/31/2023,"4,81,78,24,20,000","4,80,38,74,20,000",83.136,45.455,4.644,17.261,22.568,79.39,270.184,1/31/2023,"41,18,20,00,000","23,07,30,00,000","13,29,60,00,000","3,38,90,00,000","9,90,70,00,000","3,82,70,00,000","3,82,70,00,000",,,"5,15,90,00,000","2,43,00,00,000","46,60,00,000","2,26,30,00,000",,,,,,"79,10,00,000","18,10,90,00,000","4,84,50,00,000","7,53,90,00,000",0,"21,80,00,000","1,59,80,00,000","4,30,30,00,000","1,03,80,00,000","38,20,00,000",,"-2,69,40,00,000","6,04,80,00,000","4,37,20,00,000","1,67,60,00,000","29,90,00,000","29,90,00,000","3,39,60,00,000","3,39,60,00,000","3,37,60,00,000","14,50,00,000","19,08,10,00,000","6,56,30,00,000","3,65,20,00,000","1,66,00,00,000","1,19,30,00,000","46,70,00,000",,,"1,99,20,00,000",,"10,80,00,000","1,42,60,00,000","1,25,00,00,000",,"1,25,00,00,000","17,60,00,000","35,40,00,000","35,40,00,000","1,02,30,00,000","12,51,80,00,000",,"10,60,50,00,000","9,70,30,00,000","90,20,00,000","46,50,00,000","24,70,00,000","21,80,00,000","1,38,50,00,000",,,"6,30,00,000","22,10,10,00,000","22,10,10,00,000","20,00,000",0,"20,00,000","11,97,10,00,000","10,17,10,00,000",,"-4,30,00,000","-4,30,00,000",,"31,80,40,00,000","22,10,10,00,000","1,07,80,00,000","16,05,30,00,000","16,51,00,00,000","33,05,40,00,000","16,05,30,00,000","12,03,10,00,000","7,56,40,00,000","2,46,61,36,572","2,46,61,36,572",
10/31/2022,10/01/22,123.470001,0,"39,20,00,000","39,20,00,000","68,00,00,000","1,10,00,000",,"1,10,00,000","40,60,00,000","40,60,00,000",,,,"-53,20,00,000","-53,20,00,000",,"74,50,00,000",,"-4,50,00,000","-87,30,00,000","41,00,00,000","41,00,00,000","-56,30,00,000","24,70,00,000","-1,00,90,00,000","-91,70,00,000","-91,70,00,000","-9,20,00,000",,"4,20,00,000",,"3,14,80,00,000","3,14,80,00,000",,"-53,00,00,000","-53,00,00,000",,0,0,,"3,67,80,00,000","-2,20,60,00,000","5,88,40,00,000",,"-3,75,30,00,000","-3,75,30,00,000",0,0,0,0,"-3,48,50,00,000",,"-3,48,50,00,000","-10,00,00,000","-10,00,00,000","14,40,00,000","-31,20,00,000","2,80,00,00,000","-21,30,00,000","3,01,30,00,000",,"26,40,00,000",,"-53,00,00,000",,0,0,"-3,48,50,00,000","-13,80,00,000",10/31/2022,"5,93,10,00,000","5,93,10,00,000","2,75,40,00,000","3,17,70,00,000","2,57,60,00,000","63,10,00,000","1,94,50,00,000",,,,,,,"60,10,00,000","2,30,00,000","8,80,00,000","6,50,00,000","-1,10,00,000",0,0,,"-1,10,00,000","61,30,00,000","-6,70,00,000","68,00,00,000","68,00,00,000","68,00,00,000","68,00,00,000",,"68,00,00,000",0.27,0.27,"2,48,30,00,000","2,49,90,00,000","60,10,00,000","5,33,00,00,000","68,00,00,000","68,00,00,000","8,80,00,000","6,50,00,000","2,30,00,000","67,80,00,000","1,08,40,00,000","2,75,40,00,000","40,60,00,000","68,00,00,000",0,0,"1,08,40,00,000",0.21,0,10/31/2022,"3,33,10,59,60,000","3,27,76,09,60,000",44.108,29.762,2.579,11.499,13.966,55.262,302.363,10/31/2022,"40,48,80,00,000","23,22,30,00,000","13,14,30,00,000","2,80,00,00,000","10,34,30,00,000","4,90,80,00,000","4,90,80,00,000",,,"4,45,40,00,000","1,93,60,00,000","78,80,00,000","1,73,00,00,000","71,80,00,000",,,,,"71,80,00,000","17,26,50,00,000","4,70,10,00,000","4,70,10,00,000",,,,,"4,70,10,00,000",,,,"6,22,20,00,000","4,37,20,00,000","1,85,00,00,000","31,40,00,000","31,40,00,000","2,76,20,00,000","2,76,20,00,000","3,16,40,00,000","10,20,00,000","19,13,90,00,000","6,85,50,00,000","3,30,00,00,000","1,59,90,00,000","1,49,10,00,000","10,80,00,000",,,"1,70,10,00,000",,"10,40,00,000","1,24,90,00,000","1,24,90,00,000",,"1,24,90,00,000",,"33,80,00,000","33,80,00,000","1,86,40,00,000","12,28,40,00,000",,"10,49,90,00,000","9,70,10,00,000","79,80,00,000","45,90,00,000","24,60,00,000","21,30,00,000","1,05,70,00,000",,,"26,90,00,000","21,34,90,00,000","21,34,90,00,000","20,00,000",0,"20,00,000","11,56,50,00,000","9,90,50,00,000",,"-12,30,00,000","-12,30,00,000",,"31,05,00,00,000","21,34,90,00,000","79,80,00,000","15,12,70,00,000","16,36,80,00,000","32,29,90,00,000","15,12,70,00,000","11,74,80,00,000","8,15,00,00,000","2,46,80,00,000","2,46,80,00,000",
7/31/2022,07/01/22,148.990005,1,"1,27,00,00,000","1,27,00,00,000","65,60,00,000","70,00,000",,"70,00,000","37,80,00,000","37,80,00,000",,,,"-44,30,00,000","-44,30,00,000",,"64,80,00,000",,"-50,00,000","2,90,00,000","12,00,00,000","12,00,00,000","-72,50,00,000","-29,30,00,000","93,70,00,000","30,40,00,000","30,40,00,000","63,30,00,000",,"-1,00,00,000",,"1,61,80,00,000","1,61,80,00,000",,"-43,30,00,000","-43,30,00,000",,"-1,30,00,000","-1,30,00,000",,"2,06,40,00,000","-3,67,40,00,000","5,73,80,00,000",,"-3,76,20,00,000","-3,76,20,00,000",,,,,"-3,34,50,00,000",,"-3,34,50,00,000","-10,00,00,000","-10,00,00,000","10,00,000","-31,80,00,000","3,01,30,00,000","-87,40,00,000","3,88,70,00,000",,,,"-43,30,00,000",,,,"-3,34,50,00,000","83,70,00,000",7/31/2022,"6,70,40,00,000","6,70,40,00,000","3,78,90,00,000","2,91,50,00,000","2,41,60,00,000","59,20,00,000","1,82,40,00,000",,,,,,,"49,90,00,000","-1,90,00,000","4,60,00,000","6,50,00,000","-50,00,000",0,0,,"-50,00,000","47,50,00,000","-18,10,00,000","65,60,00,000","65,60,00,000","65,60,00,000","65,60,00,000",,"65,60,00,000",0.26,0.26,"2,49,50,00,000","2,51,60,00,000","49,90,00,000","6,20,50,00,000","65,60,00,000","65,60,00,000","4,60,00,000","6,50,00,000","-1,90,00,000","54,00,00,000","91,80,00,000","3,78,90,00,000","37,80,00,000","65,60,00,000",0,0,"91,80,00,000",0.21,0,7/31/2022,"4,54,07,50,00,000","4,45,43,60,00,000",48.694,34.014,2.648,15.6,17.176,66.443,485.224,7/31/2022,"43,47,60,00,000","27,41,80,00,000","17,03,70,00,000","3,01,30,00,000","14,02,40,00,000","5,31,70,00,000","5,31,70,00,000",,,"3,88,90,00,000","1,53,40,00,000","76,70,00,000","1,58,80,00,000","1,17,50,00,000",,,,,"1,17,50,00,000","16,05,80,00,000","4,08,50,00,000","4,08,50,00,000",,,,,"4,08,50,00,000",,,,"6,40,80,00,000","4,37,20,00,000","2,03,60,00,000","30,70,00,000","30,70,00,000","2,22,50,00,000","2,22,50,00,000","2,92,20,00,000","11,10,00,000","19,62,50,00,000","7,57,30,00,000","4,46,30,00,000","2,57,90,00,000","2,42,10,00,000","15,80,00,000",,,"1,88,40,00,000",,"16,80,00,000","1,24,90,00,000","1,24,90,00,000",,"1,24,90,00,000",,"35,90,00,000","35,90,00,000","1,33,40,00,000","12,05,20,00,000",,"10,44,30,00,000","9,70,00,00,000","74,30,00,000","45,30,00,000","25,20,00,000","20,10,00,000","1,02,20,00,000",,,"13,40,00,000","23,85,10,00,000","23,85,10,00,000","20,00,000",0,"20,00,000","10,96,80,00,000","12,97,10,00,000",,"-9,00,00,000","-9,00,00,000",,"33,55,10,00,000","23,85,10,00,000","74,30,00,000","17,44,30,00,000","19,84,50,00,000","34,80,00,00,000","17,44,30,00,000","11,69,20,00,000","7,93,60,00,000","2,48,90,00,000","2,48,90,00,000",
