Date,Open,Y-label
4/24/2024,839.780029,1
04/01/24,902.98999,0
01/01/24,492.440002,0
10/01/23,440.299988,0
07/01/23,425.170013,0
04/01/23,275.089996,0
01/01/23,148.509995,0
10/01/22,123.470001,0
07/01/22,148.990005,1
04/01/22,273.75,1
01/01/22,298.149994,0
10/01/21,207.5,0
07/01/21,201.25,0
04/01/21,135.722504,0
01/01/21,131.042496,0
10/01/20,137.580002,0
07/01/20,95.207497,0
04/01/20,63.912498,0
01/01/20,59.6875,0
10/01/19,43.75,0
07/01/19,43.142502,0
04/01/19,45.814999,0
01/01/19,32.66,0
10/01/18,71.040001,1
07/01/18,58.522499,0
04/01/18,57.185001,0
01/01/18,48.945,0
10/01/17,45.200001,0
07/01/17,36.262501,0
04/01/17,27.237499,0
01/01/17,26.1,0
10/01/16,17.129999,0
07/01/16,11.6875,0
04/01/16,8.8525,0
01/01/16,8.0725,0
10/01/15,6.1625,0
07/01/15,5.1525,0
04/01/15,5.2525,0
01/01/15,5.0325,0
10/01/14,4.62,0
07/01/14,4.63,0
04/01/14,4.62,0
01/01/14,3.98,0
10/01/13,3.895,0
07/01/13,3.535,0
04/01/13,3.2,0
01/01/13,3.14,0
10/01/12,3.35,0
07/01/12,3.4725,0
04/01/12,3.84,0
01/01/12,3.575,0
10/01/11,3.0875,0
07/01/11,3.985,1
04/01/11,4.675,0
01/01/11,3.88,0
10/01/10,2.9625,0
07/01/10,2.56,0
04/01/10,4.37,1
01/01/10,4.6275,0
10/01/09,3.745,0
07/01/09,2.84,0
04/01/09,2.435,0
01/01/09,2.0175,0
10/01/08,2.6375,1
07/01/08,4.625,1
04/01/08,5.095,0
01/01/08,8.53,1
10/01/07,9.1375,0
07/01/07,6.983333,0
04/01/07,4.785,0
01/01/07,6.178333,1
10/01/06,4.908333,0
07/01/06,3.63,0
04/01/06,4.796667,1
01/01/06,3.064167,0
10/01/05,2.89,0
07/01/05,2.219167,0
04/01/05,2.004167,0
01/01/05,2.031667,0
10/01/04,1.215833,0
07/01/04,1.725,1
04/01/04,2.2025,1
01/01/04,1.964167,0
10/01/03,1.333333,0
07/01/03,1.885,1
04/01/03,1.095833,0
01/01/03,1,0
10/01/02,0.719167,0
07/01/02,1.425,1
04/01/02,3.491667,1
01/01/02,5.599167,1
10/01/01,2.2875,0
07/01/01,3.711667,1
04/01/01,2.697917,0
01/01/01,1.375,0
10/01/00,3.458333,1
07/01/00,2.666667,0
04/01/00,1.744141,0
01/01/00,0.984375,0
10/01/99,0.394531,0
07/01/99,0.398438,0
04/01/99,0.440104,0
