name,ttm,01/31/2024,10/31/2023,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999
	CashFlowFromContinuingFinancingActivities,"-13,633,000,000","-3,629,000,000","-4,525,000,000","-5,099,000,000","-380,000,000","-1,656,000,000","-3,753,000,000","-3,762,000,000","-2,446,000,000","-745,000,000","-1,420,000,000","4,501,000,000","-471,000,000","-342,000,000","-301,000,000","-297,000,000","4,744,000,000","-183,000,000","-236,000,000","-148,000,000","-225,000,000","-877,000,000","-703,000,000","-155,000,000","-1,131,000,000","-134,000,000","-629,000,000","-968,000,000","-813,000,000","-522,000,000","1,409,000,000","-52,000,000","-544,000,000","-173,000,000","-20,000,000","-439,000,000","-44,000,000","-22,581,000","-321,000,000","-26,000,000","-464,000,000","1,288,387,000","-4,179,000","-778,389,000","-116,227,000","-102,175,000","27,084,000","14,300,000","45,521,000","19,037,000","78,930,000","40,178,000","98,578,000","88,765,000","25,978,000","14,498,000","62,780,000","47,260,000","44,885,000","7,551,000","-38,637,000","7,632,000","-272,991,000","9,524,000","-93,439,000","-156,286,000","-51,719,000","-37,429,000","-80,889,000","-55,818,000","60,374,000","-101,311,000","43,125,000","-27,232,000","8,834,000","-30,503,000","-12,476,000","11,175,000","-14,286,000","3,256,000","13,698,000","4,454,000","-291,825,000","10,648,000","6,432,000","-384,000","2,713,000","9,846,000","14,111,000","47,846,000","15,007,000","19,990,000","16,248,000","3,092,000","394,531,000","2,947,000","205,065,000","2,700,000","3,200,000","411,000","689,000"
		NetIssuancePaymentsOfDebt,"-1,250,000,000","0","0",,,"0","0",,"-22,000,000","0","-1,008,000,000","5,004,000,000","-19,000,000","-3,000,000","0","-8,000,000","4,979,000,000","0","0","0","0","-4,000,000","-10,000,000","0","-2,000,000","-9,000,000","-62,000,000","-136,000,000","-605,000,000","-226,000,000","1,544,000,000","0","0","0","-1,000,000","-1,000,000","-1,000,000","-757,000","-1,000,000","0","-1,000,000",,"-611,000","-593,000","-576,000","-527,000","-511,000","-496,000","-515,000","-10,739,000","-457,000","-10,698,000","-352,000",,"-301,000","-292,000","-282,000",,"-215,000","119,000","-222,000",,,,,,,,,,,,,"0","0","-345,000","-511,000","-504,000","-678,000","-1,350,000","-1,483,000","296,449,000","-301,693,000","-1,390,000","-1,414,000","-1,364,000","-1,613,000","-1,088,000","-870,000","-1,123,000","-733,000","-351,000","-248,000","-363,000","290,391,000","-471,000","-501,000","0","-700,000","-459,000","-5,241,000"
			NetLongTermDebtIssuance,"-1,250,000,000","0","0",,,"0","0",,"-22,000,000","0","-1,008,000,000","5,004,000,000","-19,000,000","-3,000,000","0","-8,000,000","4,979,000,000","0","0","0","0","-4,000,000","-10,000,000","0","-2,000,000","-9,000,000","-62,000,000","-136,000,000","-605,000,000","-226,000,000","1,544,000,000","0","0","0","-1,000,000","-1,000,000","-1,000,000","-757,000","-1,000,000","0","-1,000,000",,"-611,000","-593,000","-576,000","-527,000","-511,000","-496,000","-515,000","-10,739,000","-457,000","-10,698,000","-352,000",,"-301,000","-292,000","-282,000",,"-215,000","119,000","-222,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,"0",,,,,"0","0",,,"0","-8,000,000","4,985,000,000","0","-3,000,000","0","-8,000,000","4,979,000,000",,"0","0","0",,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"-1,250,000,000","0","0",,,"0","0",,"-22,000,000","0",,,"-19,000,000",,,,,"0","0","0","0","-4,000,000","-10,000,000","0","-2,000,000","-9,000,000","-62,000,000","-136,000,000","-605,000,000","-226,000,000","-444,000,000","0","0","0","-1,000,000","-1,000,000","-1,000,000","-757,000","-1,000,000","0","-1,000,000",,"-611,000","-593,000","-576,000","-527,000","-511,000","-496,000","-515,000","-10,739,000","-457,000","-10,698,000","-352,000",,"-301,000","-292,000","-282,000",,"-215,000","119,000","-222,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-9,533,000,000","-2,659,000,000","-3,807,000,000","-3,067,000,000","0","-1,213,000,000","-3,485,000,000","-3,345,000,000","-1,996,000,000",,"0","0","0",,,,,"0","0","0","0","-724,000,000","-200,000,000","0","-655,000,000","0","-151,000,000","-758,000,000","0","-230,000,000","0","-9,000,000","-500,000,000","-135,000,000","0","-399,000,000","-53,000,000","-3,600,000","-310,000,000","0","-500,000,000","-37,304,000","0","-750,000,000","-100,000,000",,"0","0","0",,"51,705,000","39,499,000","85,286,000","73,145,000","26,279,000","14,790,000","63,062,000","123,912,000","45,100,000","7,432,000","39,660,000","6,817,000","-272,991,000","9,524,000","-93,439,000","-156,506,000","-51,719,000","-37,429,000","-80,889,000","-33,447,000","52,177,000","-109,203,000","36,655,000","-27,232,000","9,325,000","-30,158,000","-12,456,000","11,679,000","-13,608,000","4,606,000","15,181,000","8,005,000","9,868,000","12,038,000","7,846,000","980,000","4,326,000","5,200,000","14,981,000","49,044,000","9,743,000","15,092,000","16,496,000","3,455,000","104,140,000","3,418,000","5,566,000","2,800,000","3,900,000","870,000","5,930,000"
			CommonStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,705,000","39,499,000","85,286,000","73,145,000","26,279,000","14,790,000","63,062,000","45,837,000","45,100,000","7,432,000","39,660,000","6,817,000","26,749,000","9,524,000","30,457,000","21,579,000","73,322,000","86,957,000","44,111,000","66,553,000","52,177,000","15,775,000","86,655,000","22,768,000","49,325,000","19,884,000","36,011,000","11,679,000","11,036,000","4,606,000","15,181,000","8,005,000","9,868,000","12,038,000","7,846,000","980,000","4,326,000","5,200,000","14,981,000","48,969,000","9,743,000","15,149,000","16,514,000","3,455,000","104,140,000","3,418,000","5,566,000","2,800,000","3,900,000","870,000","5,930,000"
			CommonStockPayments,"-9,533,000,000","-2,659,000,000","-3,807,000,000","-3,067,000,000","0","-1,213,000,000","-3,485,000,000","-3,345,000,000","-1,996,000,000",,"0","0","0",,,,,"0","0","0","0","-724,000,000","-200,000,000","0","-655,000,000","0","-151,000,000","-758,000,000","0","-230,000,000","0","-9,000,000","-500,000,000","-135,000,000","0","-399,000,000","-53,000,000","-3,600,000","-310,000,000","0","-500,000,000","-37,304,000","0","-750,000,000","-100,000,000",,"0","0","0",,,,,,,,,"78,075,000","0","0","-78,075,000","0","-299,740,000","0","-123,896,000","-178,085,000","-125,041,000","-124,386,000","-125,000,000","-100,000,000","0","-124,978,000","-50,000,000","-50,000,000","-40,000,000","-50,042,000","-48,467,000","0",,,,,,,,,,,,,"0","-57,000","-18,000",,,,,,,,
		CashDividendsPaid,"-395,000,000","-99,000,000","-97,000,000","-100,000,000","-99,000,000","-98,000,000","-100,000,000","-100,000,000","-100,000,000","-101,000,000","-100,000,000","-99,000,000","-99,000,000","-99,000,000","-99,000,000","-99,000,000","-98,000,000","-98,000,000","-97,000,000","-98,000,000","-97,000,000","-98,000,000","-91,000,000","-91,000,000","-91,000,000","-91,000,000","-84,000,000","-84,000,000","-82,000,000","-76,000,000","-61,000,000","-62,000,000","-62,000,000","-61,000,000","-53,000,000","-53,000,000","-46,000,000","-46,217,000","-46,000,000","-47,000,000","-47,000,000","-48,329,000","-43,397,000","-43,343,000","-46,267,000",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStockDividendPaid,,,,,"-99,000,000","-98,000,000","-100,000,000","-100,000,000","-100,000,000","-101,000,000","-100,000,000","-99,000,000","-99,000,000","-99,000,000","-99,000,000","-99,000,000","-98,000,000","-98,000,000","-97,000,000","-98,000,000","-97,000,000","-98,000,000","-91,000,000","-91,000,000","-91,000,000","-91,000,000","-84,000,000","-84,000,000","-82,000,000","-76,000,000","-61,000,000","-62,000,000","-62,000,000","-61,000,000","-53,000,000","-53,000,000","-46,000,000","-46,217,000","-46,000,000","-47,000,000","-47,000,000","-48,329,000","-43,397,000","-43,343,000","-46,267,000",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
