name,ttm,01/31/2024,10/31/2023,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999
MarketCap,"1,987,950,000,000","1,516,025,280,000","1,005,634,800,000","1,153,739,010,000","686,268,648,069","481,782,420,000","333,105,960,000","454,075,000,000","464,419,541,679","613,619,160,000","639,175,000,000","485,915,080,000","373,666,674,773","321,626,210,000","310,341,840,000","261,972,030,000","179,752,200,000","144,695,160,000","123,024,240,000","102,750,480,000","110,229,000,000","87,112,500,000","128,184,640,000","148,630,020,000","136,522,499,404","148,954,800,000","124,086,000,000","96,693,450,000","62,010,206,388","63,870,300,000","38,070,600,000","30,491,400,000","19,347,813,854","15,758,020,000","15,291,430,000","10,733,100,000","12,277,643,262","10,465,054,165","10,589,021,151","9,764,409,655","10,293,438,089","8,917,548,723","8,788,325,599","8,342,223,378","8,511,430,014","7,561,430,202","7,418,227,997","8,378,607,635","8,030,023,352","9,042,067,155","8,935,165,002","8,301,988,419","11,902,508,580","14,078,252,367","6,899,767,000","5,258,518,000","8,939,258,719","8,539,911,000","6,551,688,000","7,062,366,000","6,227,366,719","4,269,651,517","4,704,672,615","6,346,153,356","11,399,777,226","13,699,152,638","19,656,117,971","16,734,067,109","11,930,257,288","11,058,768,264","12,391,657,925","7,867,832,132","10,295,283,312","7,705,773,529","5,740,092,179","4,562,526,175","3,703,405,306","3,827,778,482","2,403,898,799","1,711,188,106","2,268,801,679","2,433,065,486","1,911,061,201","2,043,352,843","1,511,680,033","1,085,052,822","1,249,584,444","1,128,776,453","3,525,555,202","6,551,637,877","4,118,299,846","3,868,244,444","3,894,093,281","2,355,077,977","2,811,277,062","2,643,718,159","1,913,674,399","766,853,578","452,849,322","397,651,848","356,690,335"
EnterpriseValue,"1,973,022,000,000","1,508,771,280,000","1,000,565,800,000","1,150,499,010,000","685,003,648,069","480,387,420,000","327,760,960,000","445,436,000,000","454,898,541,679","606,148,160,000","632,312,000,000","480,986,080,000","369,823,674,773","319,168,210,000","307,055,840,000","253,196,030,000","171,498,200,000","137,474,160,000","117,105,240,000","97,502,480,000","104,795,000,000","81,511,500,000","122,242,640,000","143,330,020,000","131,414,499,404","144,644,800,000","120,282,000,000","92,697,450,000","58,028,206,388","60,244,300,000","34,699,600,000","27,246,400,000","15,820,813,854","12,447,020,000","12,197,430,000","7,345,100,000","9,052,732,262","7,616,493,165","7,589,058,151","6,796,551,655","6,995,503,089","5,901,609,723","5,870,117,599","4,647,205,378","4,802,545,014","4,146,285,202","4,003,082,997","5,120,744,635","4,920,041,352","5,933,930,155","6,208,760,002","5,598,404,419","9,435,334,580","11,611,078,367","5,151,001,000","3,517,720,000","7,198,460,719","6,930,592,000","5,110,643,000","5,621,321,000","4,914,570,719","2,964,763,517","3,531,417,615","5,172,898,356","10,226,522,226","12,525,897,638","18,482,862,971","15,560,812,109","10,757,002,288","9,885,513,264","11,218,402,925","7,144,898,132","9,572,349,312","6,982,839,529","5,017,158,179","3,839,592,175","3,034,216,306","3,158,589,482","1,792,612,799","1,057,273,106","1,614,886,679","1,829,361,486","1,307,357,201","1,341,815,843","771,739,033","367,195,822","649,927,444","615,898,453","3,006,039,202","6,070,017,877","3,712,089,846","3,492,857,444","3,567,528,281","1,981,768,977","2,417,723,062","2,356,289,159","1,855,374,399","708,553,578","414,749,322","359,051,848","318,090,335"
PeRatio,"66.654","81.17","98.502","243.38","159.477","83.136","44.108","48.694","48.174","75.458","91.474","92.194","87.012","84.9","91.993","79.363","64.664","60.468","45.377","31.894","27.3","19.218","30.778","40.742","46.66","60.993","58.753","53.99","40.584","55.99","46.51","48.803","32.898","27.374","30.181","17.813","19.817","18.828","21.473","20.588","24.959","20.39","16.877","15.522","15.3","15.325","14.969","17.816","15.854","15.713","14.095","32.929","46.512","55.628","27.955","19.146","32.729",,,,,"12.823","14.129","12.806","14.784","18.771","30.584","31.546","26.3","26.639","34.338","24.726","35.4","27.235","23.952","33.396","38.454","40.19","45.188","23.895","31.798","25.123","19.973","43.856","59.328","12.734","11.83","6.226","17.315","42.532","35.167","31.712","41.889","27.522","38.7","66.648","56.027","23.261","98.333","89.733","81.133"
ForwardPeRatio,"33.003","30.395","24.51","62.893","61.728","45.455","29.762","34.014","33.223","47.619","54.945","50","43.478","46.083","46.729","53.476","39.526","32.787","28.09","32.258","34.014","22.472","24.155","33.113","33.784","48.309","45.872","47.619","31.847","34.483","30.121","29.412","20.202","17.986","25.317","19.57","15.456","14.025","17.391","17.361","20.704","16.584","17.668","15.601","15.106","11.641","10.142","12.484","14.535","14.815","13.21","11.508","16.026","27.027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"1.072","0.603","0.822","2.656","3.449","4.644","2.579","2.648","2.443","2.61","3.841","3.504","3.731","2.883","3.131","4.178","3.745","5.103","3.115","3.615","3.842","2.066","2.209","2.935","3.058","3.333","3.054","4.769","3.184","2.366","2.695","2.943","2.228","1.986","3.474","2.081","1.692","1.144","1.542","1.607","1.946","1.913","1.889","1.667","1.303","0.992","1.276","1.59","1.118","0.985","0.911","0.799","1.112","1.899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"32.553","34.14","31.089","45.058","25.79","17.261","11.499","15.6","17.469","25.551","29.523","25.538","22.611","21.968","23.869","22.333","16.544","14.591","12.227","9.785","9.656","7.253","11.13","14.011","14.632","17.711","16.296","14.21","9.796","11.095","7.798","6.372","4.035","3.38","3.318","2.373","2.67","2.387","2.559","2.382","2.659","2.323","2.206","2.089","2.011","1.856","1.813","2.106","2.032","2.277","2.302","2.346","3.323","3.974","1.828","1.409","2.409","2.966","2.302","2.488","2.13","1.141","1.258","1.579","2.822","3.641","5.753","5.233","4.005","3.908","4.675","3.243","4.498","3.461","2.623","2.257","1.925","2.012","1.352","0.953","1.269","1.391","1.106","1.207","0.904","0.606","0.696","0.68","2.376","5.472","4.368","2.531","5.426","3.727","4.998","8.564","5.7","2.367","2.669","2.435","2.202"
PbRatio,"46.255","45.574","36.567","47.053","31.05","22.568","13.966","17.176","17.452","25.784","30.25","25.882","22.12","21.009","22.304","19.999","14.729","12.913","11.903","10.588","11.799","9.194","14.575","19.26","18.274","23.45","20.774","15.769","10.762","11.997","8.498","7.267","4.329","3.529","3.654","2.356","2.779","2.489","2.46","2.343","2.31","2.064","2.106","1.729","1.763","1.601","1.571","1.881","1.873","2.181","2.249","2.408","3.741","4.425","2.499","1.838","3.125","3.565","2.915","3.142","2.686","1.717","1.892","2.383","4.165","5.233","7.932","7.404","5.692","5.51","6.714","4.755","7.062","5.286","4.254","3.708","3.143","3.249","2.195","1.576","2.089","2.41","1.893","2.052","1.573","1.163","1.421","1.278","4.059","8.577","6.744","7.332","8.405","5.805","7.777","12.828","15.359","6.155","5.489","5.185","4.65"
EnterprisesValueRevenueRatio,"32.386","68.261","55.219","85.178","95.245","79.39","55.262","66.443","54.886","79.308","89.02","73.918","65.328","63.795","64.972","65.493","55.681","44.275","38.854","37.806","47.205","36.967","38.429","45.895","40.977","49.689","45.631","41.568","29.958","27.724","17.315","19.08","12.123","8.884","9.347","6.37","7.865","6.088","6.195","6.162","6.342","5.158","5.57","4.755","5.03","3.746","3.325","4.904","5.32","6.225","5.823","5.507","9.808","13.099","6.104","4.336","7.185","7.054","5.658","7.239","7.399","6.162","3.934","5.795","8.867","10.415","16.568","16.638","12.741","11.248","13.671","10.392","14.04","11.021","8.6","6.68","5.197","5.576","3.477","2.318","3.422","3.875","2.69","2.918","1.906","0.783","1.51","1.441","5.157","12.051","10.171","13.441","14.807","9.082","12.201","13.828","12.496","5.516","4.276","4.603","4.479"
EnterprisesValueEBITDARatio,"55.448","103.653","91.317","155.242","257.617","270.184","302.363","485.224","206.116","187.372","210.911","175.542","155.519","176.239","180.621","237.297","154.086","121.123","110.061","137.134","212.566","195.941","105.019","114.389","95.021","125.997","125.294","123.927","96.875","76.162","50.656","72.464","53.09","39.894","39.992","55.226","38.037","25.995","27.597","30.478","30.548","25.568","28.631","26.632","32.306","16.005","12.94","26.151","38.644","30.842","24.887","24.751","46.565","47.446","34.19","-27.347","37.002","34.282","32.632","-92.479","-27.257","-27.653","30.859","-47.42","41.854","41.832","65.806","71.824","62.331","57.206","78.646","59.529","76.753","51.926","53.321","37.51","30.018","45.236","33.961","37.932","34.147","38.037","31.349","30.329","18.242","4.275","-19.149","30.439","23.12","49.664","53.6","62.988","73.818","47.283","58.93","72.801","64.726","25.274","23.432","30.172","29.673"
